"Academic Institutions (Category of AI wise) As on July 31, 2020",,,
AI Code,AI Name,State,Type/Category of Academic Institution (AI)
10484,"National Institute of Technology, Nagaland",Nagaland,"Central Higher Education Institutions -CHEI"
10512,National Institute of Technology Puducherry,Puducherry,"Central Higher Education Institutions -CHEI"
10539,"Indian Institute of Science Education & Research (IISER), Mohali",Punjab,"Central Higher Education Institutions -CHEI"
10591,"All India Institute of Medical Sciences, Jodhpur",Rajasthan,"Central Higher Education Institutions -CHEI"
10276,Digital Shiksha and Rojgar Vikas Sansthan,Rajasthan,"Central Higher Education Institutions -CHEI"
10593,"Indian Institute of Technology, Jodhpur",Rajasthan,"Central Higher Education Institutions -CHEI"
10628,Dakshina Bharat Hindi Prachar Sabha,Tamil Nadu,"Central Higher Education Institutions -CHEI"
30003,Indian Institute of Handloom Technology,Tamil Nadu,"Central Higher Education Institutions -CHEI"
10651,"Indian Institute of Information Technology, Design & Manufacturing,Kancheepuram",Tamil Nadu,"Central Higher Education Institutions -CHEI"
11431,"Rukmini Devi College of Fine Arts, Kalakshetra Foundation, Chennai",Tamil Nadu,"Central Higher Education Institutions -CHEI"
10705,"National Institute of Technology, Warangal",Telangana,"Central Higher Education Institutions -CHEI"
10709,"National Institute of Technology, Agartala",Tripura,"Central Higher Education Institutions -CHEI"
10625,Academy of Scientific & Innovative Research,Uttar Pradesh,"Central Higher Education Institutions -CHEI"
30067,Footwear Design & Development Institute,Uttar Pradesh,"Central Higher Education Institutions -CHEI"
10717,"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,"Central Higher Education Institutions -CHEI"
10755,"Indian Institute of Information Technology, Lucknow",Uttar Pradesh,"Central Higher Education Institutions -CHEI"
10780,"Indian Institute of Technology (Banaras Hindu University), Varanasi",Uttar Pradesh,"Central Higher Education Institutions -CHEI"
12110,"Indirapuram Institute of higher studies, Ghaziabad",Uttar Pradesh,"Central Higher Education Institutions -CHEI"
10773,"Rajiv Gandhi Institute of Petroleum Technology, Rae Bareli",Uttar Pradesh,"Central Higher Education Institutions -CHEI"
10818,"Indian Institute of Engineering Science and Technology, Shibpur",West Bengal,"Central Higher Education Institutions -CHEI"
10836,"Indian Institute of Information Technology, Kalyani",West Bengal,"Central Higher Education Institutions -CHEI"
10837,Indian Institute of Science Education & Research (IISER),West Bengal,"Central Higher Education Institutions -CHEI"
10846,"Indian Institute of Technology, Kaharagpur",West Bengal,"Central Higher Education Institutions -CHEI"
10814,"National Institute of Technology, Durgapur",West Bengal,"Central Higher Education Institutions -CHEI"
11454,"Satyajit Ray Film and Television Institute, Kolkata",West Bengal,"Central Higher Education Institutions -CHEI"
10703,"University of Hyderabad, Hyderabad",Andhra Pradesh,Central University
10041,"Rajiv Gandhi University, Itanagar",Arunachal Pradesh,Central University
10044,"Assam University, Silchar",Assam,Central University
10064,"Tezpur University, Tezpur",Assam,Central University
10077,"Central University of South Bihar, Patna",Bihar,Central University
10086,Dr. Rajendra Prasad Central Agricultural University,Bihar,Central University
10892,"Mahatma Gandhi Central University, Motihari",Bihar,Central University
10094,"Guru Ghasidas Vishwavidyalaya, Bilaspur",Chhatisgarh,Central University
10129,Indira Gandhi National Open University,Delhi,Central University
10120,Jamia Millia Islamia University,Delhi,Central University
10887,"Rajiv Gandhi National Aviation University, Amethi",Delhi,Central University
10123,University of Delhi,Delhi,Central University
10165,"Central Univeristy of Gujarat, Gandhinagar",Gujarat,Central University
10230,"Central University of Haryana, Mahendergarh",Haryana,Central University
10274,Central University of Jammu,Jammu and Kashmir,Central University
10275,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Central University
10289,"Central University of Jharkhand, Ranchi",Jharkhand,Central University
