,NAME,LOCATION,COURSES,CONTACT NO.
1155,NIIT Ltd.,Also Servicing in Amritsar,"RDBMS Training, Database administrator training",+912249436671_
1156,Bhatia Tuition Centre," Kashmir avenue, Kashmir Avenue","RDBMS Training, Database administrator training",
1157,I Technologies,Also Servicing in Amritsar,"RDBMS Training, Database administrator training",
1158,Innovative Techno Institute,Also Servicing in Amritsar,"RDBMS Training, Database administrator training",
1159,Innovative Techno Institute,Also Servicing in Amritsar,"RDBMS Training, Database administrator training",
1160,NIIT Amritsar Kalyan Singh Road Centre," Kalyan Singh Road Inside Hathi Gate, Hathi Gate","RDBMS Training, Database administrator training",
1161,NIIT Amritsar Mall Road Centre,"38 The Mall , Mall Road","RDBMS Training, Database administrator training",
1162,NIIT,"No. 38, Mall Road","RDBMS Training, Database developer training",
1163,Sukhmani Computer Care,"Sukhmani Building : Deep Complex, Ranjit Avenue","RDBMS Training, Database administrator training",
1164,N K Computers,"Luthra Market Chowk, Ram Bagh","RDBMS Training, Database administrator training",
1165,NIIT Ltd.,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",+912249436671_
1166,I Technologies,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",
1167,Innovative Techno Institute,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",
1168,Innovative Techno Institute,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",
1169,NIIT Amritsar Kalyan Singh Road Centre," Kalyan Singh Road Inside Hathi Gate, Hathi Gate","SQL Server Training, Database administrator training",
1170,NIIT Amritsar Mall Road Centre,"38 The Mall , Mall Road","SQL Server Training, Database administrator training",
1171,SVR Technologies,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",
1172,Simplus,"Lawrence Road, White Avenue, Amritsar","SQL Server Training, Database administrator training",
1173,Jetking Infotrain Ltd.,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",+912249433632_
1174,Nugen Computer & I.T. Services,Also Servicing in Amritsar,"SQL Server Training, Database administrator training",+919021118517_
1175,Aedifico Tech Pvt. Ltd.,Also Servicing in Amritsar,Programming Languages Training,+911141135499_
1176,Computer`S Galaxy," Lawrence Road, Circular Road",Programming Languages Training,+911140017443_
1177,Multisoft Systems Technology Consultancy Pvt. Ltd.,Also Servicing in Amritsar,Programming Languages Training,+911141137462_
1178,NIIT Ltd.,Also Servicing in Amritsar,"Programming Languages Training, Shell scripting training",+912249436671_
1179,AIDM: Asian Institute Of Digital Marketing,Also Servicing in Amritsar,Programming Languages Training,+911140147372_
1180,Kenpro Learning,Also Servicing in Amritsar,Programming Languages Training,+918048067154_
1181,Mapping Skills Technology Pvt. Ltd,Also Servicing in Amritsar,Programming Languages Training,+911140117621_
1182,Kapri Institute of English Speaking," Lawrence Road, Dayanand Nagar","Programming Languages Training, Digital literacy courses",
1183,Dream Tech Labs,"A Block Market, Ranjit Avenue, Amritsar",Programming Languages Training,
1184,i Technologies,"Katra Ahluwalia, Amritsar - 143001",Programming Languages Training,
1185,Veron Institute," Rani Ka Bagh, Rani Ka Bagh, Amritsar","Advanced Java Training, Java / J2EE Training",
1186,Computer`S Galaxy," Lawrence Road, Circular Road","Advanced Java Training, Web designing training",+911140017443_
1187,Multisoft Systems Technology Consultancy Pvt. Ltd.,Also Servicing in Amritsar,"Advanced Java Training, Web technologies & framework training",+911141137462_
1188,Computer Success," Chawttiwind Gate, Fatehgarh Churian Road, Amritsar","Advanced Java Training, Java / J2EE Training",
1189,Shiva Institute," 100 Feet Road, Azad Nagar","Advanced Java Training, Java / J2EE Training",
1190,Dream Tech Labs,"A Block Market, Ranjit Avenue, Amritsar","Advanced Java Training, Web designing training",
1191,Apex Institute Of Technical Education," Tara Walla Pull, Amritsar Bus Stand Road","Advanced Java Training, Web technologies & framework training",
1192,Simplus,"Opp. Parkash Mkt, Majitha Bypass","Advanced Java Training, Java / J2EE Training",
1193,Technolearn Trainings,Also Servicing in Amritsar,"Advanced Java Training, Web designing training",+919021102346_
1194,I Technologies,Also Servicing in Amritsar,"Advanced Java Training, Content management software training",
1195,Computer`S Galaxy," Lawrence Road, Circular Road","Advanced VBScript Training, Programming languages training",+911140017443_
1196,NIIT Ltd.,Also Servicing in Amritsar,"Advanced VBScript Training, Programming languages training",+912249436671_
1197,21st Century Computers Educational Society,"Albert Road, Kennedy Avenue","Advanced VBScript Training, Programming languages training",
1198,Sinfy Infotech,"Golden Temple area, Guru Bazar","Advanced VBScript Training, Programming languages training",
1199,I Technologies,Also Servicing in Amritsar,"Advanced VBScript Training, Programming languages training",
1200,CACMS Centre for Advanced Computer & Management Studies," B Block Market, Ranjit Avenue, Amritsar","Advanced VBScript Training, Programming languages training",
1201,Pegasus Institute," kot Khalsa Road , Kabir Park Colony, Amritsar","Advanced VBScript Training, Programming languages training",
1202,Innovative Techno Institute,Also Servicing in Amritsar,"Advanced VBScript Training, Programming languages training",
1203,NIIT Amritsar Kalyan Singh Road Centre," Kalyan Singh Road Inside Hathi Gate, Hathi Gate","Advanced VBScript Training, Programming languages training",
1204,NIIT Amritsar Mall Road Centre,"38 The Mall , Mall Road","Advanced VBScript Training, Programming languages training",
1205,ELON CONSULTING SERVICE (OPC) PRIVATE LIMITED,Also Servicing in Amritsar,"C, C++ Training, Programming languages training",+911140169517_
1206,Computer`S Galaxy," Lawrence Road, Circular Road","C, C++ Training, Programming languages training",+911140017443_
1207,NIIT Ltd.,Also Servicing in Amritsar,"C, C++ Training, Programming languages training",+912249436671_
1208,Computer Success," Chawttiwind Gate, Fatehgarh Churian Road, Amritsar","C, C++ Training, Programming languages training",
1209,Kapri Institute of English Speaking," Lawrence Road, Dayanand Nagar","C, C++ Training, Programming languages training",
1210,Dream Tech Labs,"A Block Market, Ranjit Avenue, Amritsar","C, C++ Training, Programming languages training",
1211,i Technologies,"Katra Ahluwalia, Amritsar - 143001","C, C++ Training, Programming languages training",
1212,Apex Institute Of Technical Education," Tara Walla Pull, Amritsar Bus Stand Road","C, C++ Training, Programming languages training",
