,NAME,LOCATION,COURSES,CONTACT NO.
60,3C by Auxano," GS College of Commerce, Gorepeth","CAT Coaching Centers, Management entrance exam coaching",
61,Vikalp Education," Behind Ram Mandir, Ram Nagar, Nagpur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249431815_
62,The Competitive Solutions,"Amravati Road, Civil Lines","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
63,Sunshine Tutorials,"Khare Town, Dharampeth, Nagpur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
64,Titans Learning Pvt. Ltd.,"Chitnavis Layout, Byramji Town, Nagpur","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
65,CTET Guidance Point,"Kalyaneshwar Nagar, Manewada Road, Nagpur","CTET Coaching, Teachers exam coaching",
66,Bulls Eye,"Amaravathi Road, Nagpur","CTET Coaching, Teachers exam coaching",
67,Horizon Career Academy,"1/18 New Subhedar Lay Out, New Subedar Layout","CTET Coaching, UGC NET coaching",
68,Ace Pro Academy,"New Nandanvan Layout, Nandanvan, Nagpur","CTET Coaching, Teachers exam coaching",
69,Spectrum Academy," North Ambazari Road, Shankar Nagar, Nagpur","CTET Coaching, UGC NET coaching",
70,Resoluter Learning Solutions,"Near ITI College, New Indora, Nagpur","CTET Coaching, UGC NET coaching",
71,SPAARK MPSC/UPSC/SSC/BANKING Academy," Nandanwan Road, Nandanvan, Nagpur","CTET Coaching, UGC NET coaching",
72,The Gate Coach," Mangalwari Complex, Amravati Road, Nagpur","CTET Coaching, UGC NET coaching",+912249430048_
73,MAHENDRA'S CAREER ACADEMY," Ayodhya Nagar, Ayodhya Nagar, Nagpur","IBPS Bank Interview Coaching, Bank exam coaching",+919021118158_
74,Akash Educational Academy,"Ajni Square, Nagpur","IBPS Bank Interview Coaching, Bank exam coaching",
75,Premier Academy For Administrative Services," Block 301, Shankar Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
76,Bulls Eye,"Amaravathi Road, Nagpur","IBPS Bank Interview Coaching, Bank exam coaching",
77,The Competitive Solutions,"Amravati Road, Civil Lines","IBPS Bank Interview Coaching, Bank exam coaching",
78,Institute For Banking Services,"Kamptee Road, Kadbi Chowk","IBPS Bank Interview Coaching, Bank exam coaching",
79,Perfect Spoken English & Personality Development Institute," Civil Lines, Amravati Road","IBPS Bank Interview Coaching, Bank exam coaching",
