,NAME,LOCATION,COURSES,CONTACT NO.
60,Pathfinder Education Services Pvt. Ltd.,"Zone II, M.P. Nagar","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
61,Grin Educational Service,"B. 31, Nehru Nagar, Bhopal","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
62,Pathfinder Education Services Pvt. Ltd.,"Zone II, M.P. Nagar","CTET Coaching, UPSC exam coaching",
63,illuminati coaching classes(icc)," danish nagar, Danish Nagar","CTET Coaching, UGC NET coaching",
64,JUST MATHS," M.P. NAGAR (behind pragati petrol pump), Mp Nagar","CTET Coaching, Teachers exam coaching",
65,Dream Winner Academy," Shankar Garden , Ayodhya Bypass","CTET Coaching, UPSC exam coaching",
66,English Tantra," Bhopal, Indrapuri","CTET Coaching, UGC NET coaching",
67,Galaxy Education Center,"K J Tower Jawahar chowk, Jawahar Chowk","CTET Coaching, Teachers exam coaching",
68,S.s.parihar,"380 9/A saket nagar bhopal , Saket Nagar","CTET Coaching, Teachers exam coaching",
69,SASS Institute,"Danish Nagar, Danish Nagar, Bhopal","CTET Coaching, Teachers exam coaching",
70,AISECT Online. Com," Hoshangabad Road, Bhopal","IBPS Bank Interview Coaching, Bank exam coaching",
71,Krishna Home Tuition Academy,"Mahaveer Nagar, Arera Colony","IBPS Bank Interview Coaching, Bank exam coaching",
72,Beyond Horizon," Hoshangabad Road Bag Mungalia Opposite Ashima Mall Bhopal 462026, Bag Mungalia","IBPS Bank Interview Coaching, Bank exam coaching",
73,In Home Tutor Services," Shahapura, Arera Colony","IBPS Bank Interview Coaching, Bank exam coaching",
74,A T Sir Maths Classes,"Zone 1, M.P. Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
75,Career Launcher,"Zone 2, M.P. Nagar, Bhopal","IBPS Bank Interview Coaching, Bank exam coaching",
76,Sandeep Classes,"No. 38, Jawahar Chowk","IBPS Bank Interview Coaching, Bank exam coaching",
77,Pathfinder Education Services Pvt. Ltd.,"Zone II, M.P. Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
78,Sunshiled Coaching Classes,"Ayodhya By Pass Road, Narela Shankri","IBPS Bank Interview Coaching, Bank exam coaching",
79,Mahendra Educational Pvt. Ltd.,"Vijay Nagar, Bairagarh","IBPS Bank Interview Coaching, Bank exam coaching",
80,RDCC,"New Ashoka Garden, Bhopal - 462021","KMAT Coaching, Management entrance exam coaching",
81,Excellence Bank Coaching," Old MLA Quarters, Jawahar Chowk, Bhopal","KMAT Coaching, Management entrance exam coaching",
82,Radius Classes,"No. 202, M.P. Nagar","KMAT Coaching, Management entrance exam coaching",
83,Manish Dhangar Classes For Spoken English & Communication," Sector C, Indrapuri, Bhopal","Language Training Centres, Spoken english training",+911141109791_
84,LAW PREP Tutorial," modi complex opp honda showroom mp nagar zone 2, M.P. Nagar","Law Entrance Coaching, Law entrance exam coaching",+911140132369_
85,LegalEdge Tutorials," Zone-II, Maharana Pratap Nagar, Bhopal","Law Entrance Coaching, Law entrance exam coaching",
86,Gupta Law Academy,"No. 201, Kolar","Law Entrance Coaching, Law entrance exam coaching",
87,mystance academy,"13 b govind narayan model town, Chuna Bhatti, bhopal","Law Entrance Coaching, Law entrance exam coaching",
88,Law Prep Tutorial,"Near Time Coaching, Maharana Pratap Nagar","Law Entrance Coaching, Law entrance exam coaching",
89,Sarjana Academy For Design & Fine Arts," Bhojpur Club, Arera Colony","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140131059_
90,Rajendra Bhatia's Design IFAAA," India, Bhel","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140117018_
91,Universal Academy,"Chunna Bhatti, Kolar Road","NATA Coaching, ENGG / ARCH entrance exam coaching",
92,Pathfinder Education Services Pvt. Ltd.,"Zone II, M.P. Nagar","NATA Coaching, Management entrance exam coaching",
93,illuminati coaching classes(icc)," danish nagar, Danish Nagar","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
94,HERITAGE IIT ACADEMY," BHOPAL, M.P. Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
95,JUST MATHS," M.P. NAGAR (behind pragati petrol pump), Mp Nagar","National Talent Search Exam (NTSE) Coaching, Teachers exam coaching",
96,Dream Winner Academy," Shankar Garden , Ayodhya Bypass","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
97,English Tantra," Bhopal, Indrapuri","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
98,RAJ DHAKAD COACHING CLASSES (RDCC),"RDCC 4-A ashoka garden bhopal near prabhat square, Ashoka Garden","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
99,Galaxy Education Center,"K J Tower Jawahar chowk, Jawahar Chowk","National Talent Search Exam (NTSE) Coaching, Teachers exam coaching",
100,Chetan Sharma physics classes,"Kanha Kunj phase 2 kolar road and shri ram classes 12 no bus stop opposite to ondoor store, Mahabali Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
101,Inception Academy for Competetives," Bhopal, Kolar Road","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
102,Abhinav Coaching Classes Bhopal,"Awadhpuri, Bhopal - 462022","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
103,Super Group,"Zone II, M.P. Nagar","RRB Entrance Exam Coaching, Defence / police exam coaching",
104,Beyond Horizon," Hoshangabad Road Bag Mungalia Opposite Ashima Mall Bhopal 462026, Bag Mungalia","RRB Entrance Exam Coaching, Railways exam coaching",
105,Matangi IAS Academy,"Old MLA Quarters, Jawahar Chowk","RRB Entrance Exam Coaching, UPSC exam coaching",
106,illuminati coaching classes(icc)," danish nagar, Danish Nagar","RRB Entrance Exam Coaching, UGC NET coaching",
107,JUST MATHS," M.P. NAGAR (behind pragati petrol pump), Mp Nagar","RRB Entrance Exam Coaching, Teachers exam coaching",
108,Dream Winner Academy," Shankar Garden , Ayodhya Bypass","RRB Entrance Exam Coaching, UPSC exam coaching",
