,NAME,LOCATION,COURSES,CONTACT NO.
57,Prajna Prep," bhubaneswar-07, Sahid Nagar, Bhubaneswar","CAT Coaching Centers, Law entrance exam coaching",+912249428108_
58,TIME,"IRC Village, Nayapalli","CAT Coaching Centers, Management entrance exam coaching",
59,TIME,"No. B43, Sahid Nagar","CAT Coaching Centers, Law entrance exam coaching",
60,The Solution," Sector-2, Chandrasekharpur","CAT Coaching Centers, Management entrance exam coaching",
61,Milan learning resourses management,"A/141, Saheed Nagar, Bhubaneswar","CAT Coaching Centers, Law entrance exam coaching",
62,Prajna Prep," bhubaneswar-07, Sahid Nagar, Bhubaneswar","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249428108_
63,The Mind Masters,"VSS Nagar, Vani Vihar","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
64,Ionox Software,"Bomikhal, Bhubaneswar - 727002","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
65,Milan learning resourses management,"A/141, Saheed Nagar, Bhubaneswar","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",
66,After Hours," Baramunda Colony, Baramunda, Bhubaneswar","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
67,Happy Classes," IRC Village, Jayadev Vihar, Bhubaneswar","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
68,Utkal Institute Of Technology & Management," Krutibandhu Complex, Baramunda, Bhubaneswar","CTET Coaching, Teachers exam coaching",+912249429209_
69,Sai Study Circle," Irc village, IRC Village, Bhubaneswar","CTET Coaching, Teachers exam coaching",+912249433123_
70,Adarsh Academy,"Plot no-a/41 sahidnagar.backside of Pantaloon, Saheed Nagar, Bhubaneswar","CTET Coaching, Teachers exam coaching",+912249434601_
71,Ionox Software,"Bomikhal, Bhubaneswar - 727002","CTET Coaching, UPSC exam coaching",
72,VSC/CAREERPOWER,"Infront of Rd womens college, Sahid Nagar, Bhubaneswar","CTET Coaching, UGC NET coaching",
73,IBET," Baramunda Colony, Baramunda, Bhubaneswar","CTET Coaching, Teachers exam coaching",
74,Uifsm Competitive Point," Lane 2, Jayadev Vihar, Bhubaneswar","CTET Coaching, UPSC exam coaching",
75,Guruji,"Near Pani Tanki, Acharya Vihar","CTET Coaching, Teachers exam coaching",
76,Adwitiya Academy,"N6/435, Nayapalli, Bhubaneswar","IBPS Bank Interview Coaching, Bank exam coaching",+919021117934_
77,Adarsh Academy,"Plot no-a/41 sahidnagar.backside of Pantaloon, Saheed Nagar, Bhubaneswar","IBPS Bank Interview Coaching, Bank exam coaching",+912249434601_
78,ICTS - School of Banking,"Baramunda Housing Board Colony, Baramunda, Bhubaneswar","IBPS Bank Interview Coaching, Bank exam coaching",
79,Meher Campus,"4th Floor, Saheed Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
80,TIME,"IRC Village, Nayapalli","IBPS Bank Interview Coaching, Bank exam coaching",
81,Planet Vidya,"NH 5, Acharya Vihar, Bhubaneswar","IBPS Bank Interview Coaching, Bank exam coaching",
82,Real Time Institute of Banking & Finance (RTIBF),"Bda Colony, Chandrasekharpur","IBPS Bank Interview Coaching, Bank exam coaching",
83,Kalinga Bikash Computers,"Bayababamatha Lane, Unit 9","IBPS Bank Interview Coaching, Bank exam coaching",
84,Online Chronic Test," Bhubaneswar, Jayadev Vihar","IBPS Bank Interview Coaching, Bank exam coaching",
85,Yantrik Academy,"Baramunda Housing Board, Baramunda","IBPS Bank Interview Coaching, Bank exam coaching",
86,Prajna Prep," bhubaneswar-07, Sahid Nagar, Bhubaneswar","KMAT Coaching, Law entrance exam coaching",+912249428108_
87,Milan learning resourses management,"A/141, Saheed Nagar, Bhubaneswar","KMAT Coaching, Law entrance exam coaching",
88,Bidyasagar Classes,"Bhubaneswar - 751015, Bhubaneshwar, Bhubaneswar","Language Training Centres, Spoken english training",+912249429739_
