,NAME,LOCATION,COURSES,CONTACT NO.
59,Numitech Solutions,"Feroze Gandhi Market, Ferozepur Road, Ludhiana","Multimedia Design Training, CAD & CAM training",
60,QRIO Studio,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
61,Roots Classes," Sua Road, Ludhiana H.O., Ludhiana","AMIE Coaching, ENGG / ARCH entrance exam coaching",+919021111503_
62,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","AMIE Coaching, Law entrance exam coaching",
63,R. Minds English Solutions," Model Chowk, Gulati Chowk","AMIE Coaching, Management entrance exam coaching",
64,TCY,", Ludhiana - 141001","AMIE Coaching, Management entrance exam coaching",
65,Graduate Academy,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140120168_
66,The Gate Academy,Also Servicing in Ludhiana,"AMIE Coaching, Law entrance exam coaching",+914449919914_
67,Synergy IAS Academy,Also Servicing in Ludhiana,"AMIE Coaching, Law entrance exam coaching",
68,Modulation Institute,Also Servicing in Ludhiana,"AMIE Coaching, ENGG / ARCH entrance exam coaching",
69,Innovative Techno Institute,Also Servicing in Ludhiana,"AMIE Coaching, Management entrance exam coaching",
70,Sushankaram,Also Servicing in Ludhiana,Bank Exam Coaching,+919021119461_
71,IBT Institute Pvt Ltd.," SCO-3, Ferozepur Road, Ludhiana",Bank Exam Coaching,+911140169301_
72,Edu Academy,"No. 5, Field Ganj",Bank Exam Coaching,
73,Shri Krishna Tutorial,"Santokh Nagar, New Shivpuri",Bank Exam Coaching,
74,Vivekananda IAS," Bhai Bala chowk, Ferozepur Road",Bank Exam Coaching,
75,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana",Bank Exam Coaching,
76,Panacea Bharti Institute Pvt. Ltd.,"1st Floor & 4th Floor, Ferozepur Road",Bank Exam Coaching,
77,Ignited Minds,"Street No. 3, Hargobind Nagar, Ludhiana",Bank Exam Coaching,
78,Wifi Classes,"Feroze Gandhi Market, Bhai Bala Chowk",Bank Exam Coaching,
79,Bank Entrance Exam Coaching,"Hno 128 Dugri , Ludhiana K.T.Y., Ludhiana",Bank Exam Coaching,
80,IMS Learning Resources Pvt. Ltd.,Also Servicing in Ludhiana,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
81,Guru's Classes,Also Servicing in Ludhiana,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
82,The Prayas India,Also Servicing in Ludhiana,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
83,R. Minds English Solutions," Model Chowk, Gulati Chowk","CAT Coaching Centers, Management entrance exam coaching",
84,IBT Institute,"SCO-3 Feroz Gandhi Market, Pakhowal Road, Ludhiana","CAT Coaching Centers, Management entrance exam coaching",
85,Triumphant Institute of Management Education Pvt. Ltd.," 2nd Floor, Model Town","CAT Coaching Centers, Management entrance exam coaching",
86,Shiksha Academy," Dana Mandi Jalandhar Bye Pass, Salem Tabri, Ludhiana","CAT Coaching Centers, Management entrance exam coaching",
87,Pride Career Academy,"Chandigarh Road, Jamalpur Colony","CAT Coaching Centers, Management entrance exam coaching",
88,Brahma Career Institute,"Model Town Extension Market, Model Town Extension","CAT Coaching Centers, Management entrance exam coaching",
89,TCY,", Ludhiana - 141001","CAT Coaching Centers, Management entrance exam coaching",
90,IMS Learning Resources Pvt. Ltd.,Also Servicing in Ludhiana,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
91,Guru's Classes,Also Servicing in Ludhiana,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
92,The Prayas India,Also Servicing in Ludhiana,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
93,IBT Institute,"SCO-3 Feroz Gandhi Market, Pakhowal Road, Ludhiana","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
94,Triumphant Institute of Management Education Pvt. Ltd.," 2nd Floor, Model Town","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
95,Eduworm Study Abroad Counselors,"Ghumar Mandi, Ghumar Mandi, Ludhiana","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
96,Pride Career Academy,"Chandigarh Road, Jamalpur Colony","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
97,Brahma Career Institute,"Model Town Extension Market, Model Town Extension","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
98,TCY,", Ludhiana - 141001","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
99,Brahma Career Institute," Model Town Extension Market, Model Town Extension, Ludhiana","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+918956704439_
100,Vivekananda IAS," Bhai Bala chowk, Ferozepur Road","CTET Coaching, UPSC exam coaching",
101,Shiksha Academy," Dana Mandi Jalandhar Bye Pass, Salem Tabri, Ludhiana","CTET Coaching, Teachers exam coaching",
102,IIHED Finishing School," Ferozpur Road, Bhai Bala Chowk","CTET Coaching, Teachers exam coaching",
103,Pride Career Academy,"Chandigarh Road, Jamalpur Colony","CTET Coaching, Teachers exam coaching",
104,IICE INSIGHT INSTITUTE OF COGNITIVE EDUCATION,"Harcharan Nagar, Ludhiana - 141008","CTET Coaching, Teachers exam coaching",
105,Nobel Academy," Nirmal Nagar, Dugri, Ludhiana","CTET Coaching, Teachers exam coaching",
106,The Gate Academy,Also Servicing in Ludhiana,"CTET Coaching, UGC NET coaching",+914449919914_
107,Synergy IAS Academy,Also Servicing in Ludhiana,"CTET Coaching, UPSC exam coaching",
108,K2 Solutions," Ferozepur Road, Ferozepur Road, Ludhiana","CTET Coaching, UPSC exam coaching",
109,Panacea Bharti Institute,"Bhaiwala Chowk, Ferozepur Road","CTET Coaching, UGC NET coaching",
110,IBT Institute Pvt Ltd.," SCO-3, Ferozepur Road, Ludhiana","IBPS Bank Interview Coaching, Bank exam coaching",+911140169301_
111,Edu Academy,"No. 5, Field Ganj","IBPS Bank Interview Coaching, Bank exam coaching",
112,Vivekananda IAS," Bhai Bala chowk, Ferozepur Road","IBPS Bank Interview Coaching, Bank exam coaching",
113,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","IBPS Bank Interview Coaching, Bank exam coaching",
114,Panacea Bharti Institute Pvt. Ltd.,"1st Floor & 4th Floor, Ferozepur Road","IBPS Bank Interview Coaching, Bank exam coaching",
115,R. Minds English Solutions," Model Chowk, Gulati Chowk","IBPS Bank Interview Coaching, Bank exam coaching",
116,IBT Institute,"SCO-3 Feroz Gandhi Market, Pakhowal Road, Ludhiana","IBPS Bank Interview Coaching, Bank exam coaching",
117,Triumphant Institute of Management Education Pvt. Ltd.," 2nd Floor, Model Town","IBPS Bank Interview Coaching, Bank exam coaching",
118,Eduworm Study Abroad Counselors,"Ghumar Mandi, Ghumar Mandi, Ludhiana","IBPS Bank Interview Coaching, Bank exam coaching",
119,Shiksha Academy," Dana Mandi Jalandhar Bye Pass, Salem Tabri, Ludhiana","IBPS Bank Interview Coaching, Bank exam coaching",
120,IMS Learning Resources Pvt. Ltd.,Also Servicing in Ludhiana,"KMAT Coaching, Law entrance exam coaching",+919066021467_
121,TCY,", Ludhiana - 141001","KMAT Coaching, Management entrance exam coaching",
122,The Gate Academy,Also Servicing in Ludhiana,"KMAT Coaching, Law entrance exam coaching",+914449919914_
123,Nimbus Catalyst,Also Servicing in Ludhiana,"KMAT Coaching, Law entrance exam coaching",+911140128318_
124,Elan Academy,Also Servicing in Ludhiana,"KMAT Coaching, Management entrance exam coaching",+917569008302_
125,Sukhoi Academy,Also Servicing in Ludhiana,"KMAT Coaching, Law entrance exam coaching",+911140128241_
126,Innovative Techno Institute,Also Servicing in Ludhiana,"KMAT Coaching, Law entrance exam coaching",
127,Language Pantheon,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+911140497757_
128,Feinheit Language Classes,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+911141136709_
129,Top German Coaching,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+917569010403_
130,Language Fluent,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+912249428279_
131,Fundaskill Services (OPC) Pvt. Ltd.,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+918048042700_
132,A Bright House Institute,"Ishmeet Singh Chowk, Shastri Nagar, Ludhiana","Language Training Centres, Foreign language training",+911140125020_
133,Y-Generation Overseas Education,Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+911140119002_
134,Alhamdulillah Centre,Also Servicing in Ludhiana,"Language Training Centres, Indian language training",+914449850108_
135,Complete Coaching Centre (Especially - Hindi Prachar Sabha),Also Servicing in Ludhiana,"Language Training Centres, Indian language training",+914449910129_
136,Chicademi (The Mandarin Institute),Also Servicing in Ludhiana,"Language Training Centres, Foreign language training",+911141109657_
137,KSA," Civil Lines, Kailash Chowk, Ludhiana","Law Entrance Coaching, Law entrance exam coaching",+911140167438_
138,Krishna Study Academy,Also Servicing in Ludhiana,"Law Entrance Coaching, Law entrance exam coaching",+911140166742_
139,IMS Learning Resources Pvt. Ltd.,Also Servicing in Ludhiana,"Law Entrance Coaching, Law entrance exam coaching",+919066021467_
140,Rajindera law academy," model town, Model Town Extension, Ludhiana","Law Entrance Coaching, Law entrance exam coaching",+911140164180_
141,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","Law Entrance Coaching, Law entrance exam coaching",
142,legal eagle institute,"205 kartar nagar , Model Town Extension","Law Entrance Coaching, Law entrance exam coaching",
143,IICE INSIGHT INSTITUTE OF COGNITIVE EDUCATION,"Harcharan Nagar, Ludhiana - 141008","Law Entrance Coaching, Law entrance exam coaching",
144,Vivekananda IAS," Bhai Bala chowk, Ferozepur Road","Law Entrance Coaching, Law entrance exam coaching",
145,Kalyan Institute,"Feroze Gandhi Market, Ferozepur Road","Law Entrance Coaching, Law entrance exam coaching",
146,Brahma Career Institute," Model Town Extension Market, Model Town Extension, Ludhiana","Law Entrance Coaching, Law entrance exam coaching",+918956704439_
147,Pahal Design,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140016535_
148,Shiv Ansh Art Coaching Academy,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140166526_
149,QRIO Studio,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140128124_
150,The Creative Compass,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+917569862799_
151,My Design Studio,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
152,Roots Classes," Sua Road, Ludhiana H.O.","NATA Coaching, ENGG / ARCH entrance exam coaching",+919021111503_
153,Nata Coaching," Haibowal Kalan, Ludhiana","NATA Coaching, ENGG / ARCH entrance exam coaching",
154,TCY,", Ludhiana - 141001","NATA Coaching, Management entrance exam coaching",
155,The Gate Academy,Also Servicing in Ludhiana,"NATA Coaching, Law entrance exam coaching",+914449919914_
156,Swayam Art Academy,Also Servicing in Ludhiana,"NATA Coaching, ENGG / ARCH entrance exam coaching",+912249426540_
157,Sunny Coaching Classes," Street No. 1, Sham Nagar, Ludhiana","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
158,IICE INSIGHT INSTITUTE OF COGNITIVE EDUCATION,"Harcharan Nagar, Ludhiana - 141008","National Talent Search Exam (NTSE) Coaching, Teachers exam coaching",
