,NAME,LOCATION,COURSES,CONTACT NO.
60,Akshita classes,"1 old idgah colony agra, Idgah Colony","RRB Entrance Exam Coaching, Defence / police exam coaching",
61,IMS," Madia Katra Crossing, Agra Road","Chartered Accountant Coaching, Chartered accountant tuitions",+911140145658_
62,Academic Dimension," Bodla Sikandra Road, Agra","Chartered Accountant Coaching, Chartered accountant tuitions",
63,Himanshu Accountax Tutorials,"Bhagwan Cinema Lane, New Agra Colony","Chartered Accountant Coaching, Chartered accountant tuitions",
64,Circ Branch of Icai Agra Student Wing," Avas Vikas Colony, Sikandra","Chartered Accountant Coaching, Chartered accountant tuitions",
65,Rudransh Tutorials,"H.no.212 , Chawli","Chartered Accountant Coaching, Chartered accountant tuitions",
66,School of Commerce,"Block-S3, Sanjay Place","Chartered Accountant Coaching, Chartered accountant tuitions",
67,B.a final,"Agra Mathura Bypass Road, Agra - 321025","Chartered Accountant Coaching, Chartered accountant tuitions",
68,IMS," Madia Katra Crossing, Agra Road, Agra","CACPT Coaching, Chartered accountant tuitions",+911140145658_
69,Academic Dimension," Bodla Sikandra Road, Agra","CACPT Coaching, Chartered accountant tuitions",
70,Himanshu Accountax Tutorials,"Bhagwan Cinema Lane, New Agra Colony","CACPT Coaching, Chartered accountant tuitions",
71,Circ Branch of Icai Agra Student Wing," Avas Vikas Colony, Sikandra","CACPT Coaching, Chartered accountant tuitions",
72,Rudransh Tutorials,"H.no.212 , Chawli","CACPT Coaching, Chartered accountant tuitions",
73,School of Commerce,"Block-S3, Sanjay Place","CACPT Coaching, Chartered accountant tuitions",
74,B.a final,"Agra Mathura Bypass Road, Agra - 321025","CACPT Coaching, Chartered accountant tuitions",
75,Gas agency,"145, Jarua Katra","Chartered Financial Analyst (CFA) Coaching, CFA tuitions",
76,Commerce Arena," Sanjay Place, Shoe Market","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
77,Commerce Classes,"Saket Colony, Shahganj","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
78,Agastya Institute," 146/9 , Kamla Nagar, Agra","Certified Financial Planner (CFP) Coaching, Finance certification tuitions",
79,Agastya Institute," 146/9 , Kamla Nagar, Agra","Certified Financial Executive (CFX) Coaching, Finance certification tuitions",
80,Commerce Arena," Sanjay Place, Shoe Market, Agra","Certified Financial Executive (CFX) Coaching, Chartered accountant tuitions",
81,School of Commerce,"Block-S3, Sanjay Place","CMA Coaching, Chartered accountant tuitions",
82,Commerce Arena," Sanjay Place, Shoe Market","CMA Coaching, Chartered accountant tuitions",
