,NAME,LOCATION,COURSES,CONTACT NO.
0,Nimra Women's College of Engineering," Krishna District, Ibrahimpatnam",Engineering Colleges,
1,Presidency University,"Nirmala High School Road, Vasavya Nagar",Engineering Colleges,
2,Lingayas Institute of Management & Technology," Madalavari Gudem, Vijaywada",Engineering Colleges,
3,Nimra College of Engineering & Technology," Krishna District, Ibrahimpatnam",Engineering Colleges,
4,SRK Institute of Technology," Krishna District, Ramavarappadu",Engineering Colleges,
5,RK College of Engineering,"Kethanakonda , Ibrahimpatnam",Engineering Colleges,
6,School of Planning & Architecture,"Nirmala Convent Road, Benz Circle",Engineering Colleges,
7,Tic Tac Digital Marketing," Gunadala, Vijaywada, Vijayawada","Job Training Centres, Digital marketing job training",+917569013834_
8,U Sandeep Gowd," Morlavari Palem Peluru, M.G. Road, Vijayawada","Job Training Centres, Digital marketing job training",+917949075010_
9,QBS Hair & Beauty Pvt Ltd," Behind Hotel DV Manor, Benz Circle","Job Training Centres, Beauty and spa job training",+918048103082_
10,Jd Institute Of Fashion Technology," M G Road, M.G. Road","Job Training Centres, Arts & media job training",+918048104251_
11,Medesun Prime,"Benz Circle, Vijayawada - 520010","Job Training Centres, Health & wellness job training",+918043692521_
12,VDC Engineers,"Pitchiah Street, Labbipet, Vijayawada","Job Training Centres, Engineering and technician job training",+918099974026_
13,Sreekanths Bridge Overseas Educational consultancy," Madina Masjid Street, M.G. Road, Vijayawada","Overseas Education Consultants, Overseas education",+918048104307_
14,Pachus Pegasus," Madina Mosque Street, M.G. Road","Overseas Education Consultants, Overseas education",+919021110682_
15,SNY Cosmos Overseas Educonsultants Pvt. Ltd.,"Labbipet, M.G. Road, Vijayawada","Overseas Education Consultants, Overseas education",+918048103321_
16,Careerbaba Overseas Education Services LLP," AkulaVari Stree, Krishna Lanka","Overseas Education Consultants, Overseas education",+918048103291_
17,Sahasra Overseas Educational & Financial Services," Pantakaluva Road, Krishna Lanka","Overseas Education Consultants, Overseas education",+918048103247_
