,NAME,LOCATION,COURSES,CONTACT NO.
1719,School,"Kankarbagh, Patna - 800020",Residential Schools,
1720,Alpine Valley Boarding School,"Patiliputra Colony, Pataliputra",Residential Schools,
1721,Doon`s Public School,"Chitra Gupat Nagar, Kankarbagh",Residential Schools,
1722,Shivam Convent,"Sachiwalya Colony, Kankarbagh",Residential Schools,
1723,Shivam Convent School,"Nandlal Chapra More, Bhoothnath Marg",Residential Schools,
1724,Small Wonders School & Day Care," Nageswar Colony, Boring Road","Playschools, Playschool & day care services",+911140135934_
1725,Shanti Juniors Play School,"Krishna Bhawan, Fraser Road","Playschools, Playschool & day care services",
1726,Eurokids,"No. X-9, Ashiananagar","Playschools, Playschool & day care services",
1727,Bal Sparsh Play School,"Maurya Vihar Colony , Transport Nagar","Playschools, Playschool & day care services",
1728,Kidzee,"Pataliputra Colony, Pataliputra","Playschools, Playschool & day care services",
1729,Shemrock Kids," Khajpura, Bailey Road","Playschools, Playschool & day care services",
1730,Bachpan Play School," Jagdev Path, Bit Campus","Playschools, Playschool & day care services",
1731,The Tree House,"Lohia Nagar, Kankarbagh","Playschools, Playschool & day care services",
1732,Hello Kids,"Mahendru, Mohammadpur","Playschools, Playschool & day care services",
1733,Euro Kids,"Indrapuri, Patna H.O.","Playschools, Playschool & day care services",
1734,V. Kumar E-Media Education Pvt. Ltd.,"1st Floor, Anisabad","B.E. Colleges, Engineering Colleges",
1735,Career Counselling,"Fraser Road, Patna - 800001","B.E. Colleges, Engineering Colleges",
1736,Education 2 Career," Opposite Kuber Hotel, Exhibition Road","B.E. Colleges, Engineering Colleges",
1737,Patna Education pvt.ltd,"3rd floor DD complex Saguna more Danapur patna, Bailey Road","B.E. Colleges, Engineering Colleges",
1738,Career Path Guru,"Boring Road, Patna - 800001","B.E. Colleges, Engineering Colleges",
1739,EASY COUNSELLING,"chauraha, Boring Road, Patna","B.E. Colleges, Engineering Colleges",
1740,Arignar Anna Institute of Science & Technology,"Patna H.O., Patna - 800001","B.E. Colleges, Engineering Colleges",
1741,Sir Krishna School of Engineering & Management (Corporate Branch)," Dakbunglow, Chauraha","B.E. Colleges, Engineering Colleges",
1742,Punjab Technical University,"Fraser Road, Patna - 800001","B.E. Colleges, Engineering Colleges",
1743,Patna Education pvt.ltd,"3rd floor DD complex Saguna more Danapur patna, Bailey Road","MBBS Colleges, Medical Colleges",
1744,Career Path Guru,"Boring Road, Patna - 800001","MBBS Colleges, Medical Colleges",
1745,Indira Gandhi Institute of Medical Science,"Bailey Road, Sheikhpura","MBBS Colleges, Medical Colleges",
1746,E-MEDIA INSTITUTE," Ashok House, Anisabad, Patna","MBBS Colleges, Medical Colleges",
1747,medical,", Patna - ","MBBS Colleges, Medical Colleges",
1748,welltech infotech,"Sri Dilip Kumar Jha Road No 8 Hno 19 New Pp Colony, Paltiputra Colony, Patna","MBBS Colleges, Medical Colleges",+919021108091_
1749,V. Kumar E-Media Education Pvt. Ltd.,"1st Floor, Anisabad",Hotel Management Degree Colleges,
1750,Hotel managment,"Bhoothnath Marg, Patna - 132024",Hotel Management Degree Colleges,
1751,Hotel managment,"Bhoothnath Marg, Patna - 132024",Hotel Management Degree Colleges,
1752,NIM Durgapur,"Main Road, Kankarbagh",Hotel Management Degree Colleges,
1753,Zakir Hussain Institute,"Bailey Road, Patna - 800001",Hotel Management Degree Colleges,
1754,Magadh University,"Bodh Gaya, Patna",Hotel Management Degree Colleges,
1755,welltech infotech,"Sri Dilip Kumar Jha Road No 8 Hno 19 New Pp Colony, Paltiputra Colony, Patna",MBA Colleges,+919021108091_
1756,International Business College,"Boring Road, Patna - 800001",MBA Colleges,
1757,SIMTECH COLLAGE," road no 24o, Rajeev Nagar, Patna",MBA Colleges,
1758,Mandavi Classes,"Rajeev Nagar Road no 6 patna, Rajeev Nagar, Patna",MBA Colleges,
1759,Patna Education pvt.ltd,"3rd floor DD complex Saguna more Danapur patna, Bailey Road",MBA Colleges,
1760,Career Path Guru,"Boring Road, Patna - 800001",MBA Colleges,
1761,Admission Help,"Bazarsamiti, Alamganj",Pharmacy Colleges,
1762,Career Path Guru,"Boring Road, Patna - 800001",Pharmacy Colleges,
1763,Bihar College of Pharmacy,"Bailey Road, Patna - 801503",Pharmacy Colleges,
1764,R R institution,"Ashok Rajpath, Patna - 800004",Pharmacy Colleges,
1765,National Institute Of Health Education,"IDH Colony, Gulzarbagh, Patna",Nursing Colleges,
1766,R R institution,"Ashok Rajpath, Patna - 800004",Nursing Colleges,
1767,The Aircraft ATMI," Punaichack Mohanpur, Punaichak, Patna",Aviation Colleges,
1768,Pride Institute," Bailey Road, Patna Aerodrome, Patna","Distance Education, Management distance education",+919883029297_
1769,"Madhav University,Pindwara ( Sirohi)","2nd Floor, Ashok Rajpath, Patna","Distance Education, Management distance education",+918286085764_
1770,Shri Vinayaka Educare Services & Consultancy Pvt. Ltd.," Ashok Rajpath, Ashok Rajpath","Distance Education, Open school distance education",+911140116673_
1771,Welltech Infotech Pvt. Ltd.," Road No. 1b, Boring Road, Patna","Distance Education, Open school distance education",+911141109012_
1772,Dr J.L. Chaudhary Institute Of Technology & Management,"Maa Durga Enclave, Boring Road","B.Tech. Distance Education, Open school distance education",
1773,SIMTECH COLLAGE," road no 24o, Rajeev Nagar, Patna","B.Tech. Distance Education, Management distance education",
