,NAME,LOCATION,COURSES,CONTACT NO.
55,Punia Group of Education," Madhyam Marg, Mansarovar","AMIE Coaching, Management entrance exam coaching",
56,AEN ACADEMY," jagatpura phatak, Jagatpura","AMIE Coaching, ENGG / ARCH entrance exam coaching",
57,JANGID Science Academy Jaipur," 2/1 Sector 4 Vidhyadhar Nagar, Vidhyadhar Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",
58,Landmark Group," Krishna Marg, Ajmer Road, Jaipur","AMIE Coaching, Management entrance exam coaching",
59,Hemant Kumar Sharma,"Mangyavas Road, Mansarovar, Jaipur",Bank Exam Coaching,+911140169594_
60,Torque Classes,"No. 22, Kartarpura, Jaipur",Bank Exam Coaching,
61,Dhruv Coaching Classes,"No. C/61, Janata Colony, Jaipur",Bank Exam Coaching,
62,Golden Coaching,"Bank Colony, Tonk Phatak, Jaipur",Bank Exam Coaching,
63,My India Coaching Classes,"Sector 8, Vidhyadhar Nagar",Bank Exam Coaching,
64,Gurukul Classes," Paratap Nagar, Sanganer",Bank Exam Coaching,
65,Indiadox Computer Training Center," Govindpura, Jhotwara",Bank Exam Coaching,
66,Eduway Best Home Tuition & Home Tutor," Central Spine, Vidhyadhar Nagar, Jaipur",Bank Exam Coaching,
67,Chanakya Academy,"Mansinghpura, Tonk Road",Bank Exam Coaching,
68,Ankit Bansal,"Sector 5, Mansarovar",Bank Exam Coaching,
69,IMS LALKOTHI," Apex Mall, Lal Kothi, Jaipur","CAT Coaching Centers, Law entrance exam coaching",+918657608031_
70,Bulls Eye," Gujar ki Thadi, Jaipur City S.O., Jaipur","CAT Coaching Centers, Law entrance exam coaching",+911140168094_
71,Aptimania," Vidhyadhar Nagar, Shastri Nagar, Jaipur","CAT Coaching Centers, Management entrance exam coaching",+919021122520_
72,IMS Vaishali Nagar," India, Vaishali Nagar, jaipur","CAT Coaching Centers, Law entrance exam coaching",+911141136787_
73,IMS Learning Resources Pvt. Ltd.," India, Malviya Nagar, Jaipur","CAT Coaching Centers, Law entrance exam coaching",+917949071763_
74,IMS LALKOTHI," Apex Mall, Lal Kothi, Jaipur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+918657608031_
75,Bulls Eye," Gujar ki Thadi, Jaipur City S.O., Jaipur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140168094_
76,Aptimania," Vidhyadhar Nagar, Shastri Nagar, Jaipur","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+919021122520_
77,IMS Vaishali Nagar," India, Vaishali Nagar, jaipur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911141136787_
78,IMS Learning Resources Pvt. Ltd.," India, Malviya Nagar, Jaipur","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+917949071763_
79,Sujan Tuitions,"No. 4/101, Vidhyadhar Nagar","CTET Coaching, Teachers exam coaching",
80,Punia Group of Education," Madhyam Marg, Mansarovar","CTET Coaching, UPSC exam coaching",
81,Guru Chem Academy,"Main Kanta Chouraha, Jhotwara, Jaipur","CTET Coaching, UGC NET coaching",
82,ExamInk,"Khatipura, Jaipur - 302012","CTET Coaching, UGC NET coaching",
83,Qualifiers,", Jaipur - ","CTET Coaching, UGC NET coaching",
84,Landmark Group," Krishna Marg, Ajmer Road, Jaipur","CTET Coaching, UPSC exam coaching",
85,Bright Sparks Home Tution,"Tonk Road, Pratap Nagar, Jaipur","CTET Coaching, UGC NET coaching",
86,Anshu Coaching Classes," Sodala, 80 Feet Road","CTET Coaching, Teachers exam coaching",
87,Anshu Coaching Classes," Sodala, 80 Feet Road","CTET Coaching, Teachers exam coaching",
88,Dhruv Coaching Classes,"No. C/61, Janata Colony","IBPS Bank Interview Coaching, Bank exam coaching",
89,Golden Coaching,"Bank Colony, Tonk Phatak","IBPS Bank Interview Coaching, Bank exam coaching",
90,My India Coaching Classes,"Sector 8, Vidhyadhar Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
91,Gurukul Classes," Paratap Nagar, Sanganer","IBPS Bank Interview Coaching, Bank exam coaching",
92,Indiadox Computer Training Center," Govindpura, Jhotwara","IBPS Bank Interview Coaching, Bank exam coaching",
93,BCI Home Tuitions,"Kirti Nagar, Tonk Road","IBPS Bank Interview Coaching, Bank exam coaching",
94,Engineers Academy," Kalishpuri, Tonk Road, Jaipur","IBPS Bank Interview Coaching, Bank exam coaching",
95,Nextep Academy Pvt. Ltd.,"No. 8C/51, Barkat Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
96,Ujjwal Education Centre,"1st Floor, Sirsi Road","IBPS Bank Interview Coaching, Bank exam coaching",
97,Sawan Institute of English Language,"Mahesh Nagar, Lal Kothi","IBPS Bank Interview Coaching, Bank exam coaching",
98,Aptimania," Vidhyadhar Nagar, Shastri Nagar, Jaipur","KMAT Coaching, Management entrance exam coaching",+919021122520_
99,Safeducate Learning Pvt. Ltd,"Behind Laxmi Mandir Cinema Hall, Lal Kothi, Jaipur","KMAT Coaching, Management entrance exam coaching",
100,Punia Group of Education," Madhyam Marg, Mansarovar","KMAT Coaching, Management entrance exam coaching",
101,NIDT,"Kiran Path Madhyam Marg, Mansarovar","KMAT Coaching, Management entrance exam coaching",
102,Jain Classes,"Vasundhara Colony, Tonk Road, Jaipur","KMAT Coaching, Management entrance exam coaching",
103,Infinity Academy," Gandhi Path, Vaishali Nagar, Jaipur","KMAT Coaching, Law entrance exam coaching",
104,Namaste German Foreign language Classes," II Floor, Malviya Nagar, Jaipur","Language Training Centres, Foreign language training",+917569016022_
105,Gyanshala Foreign Language academy," Bees Dukan, Raja Park, Jaipur","Language Training Centres, Foreign language training",+919883030879_
106,Samyak Computer Classes - 25 Branches," Sodala, Shyam Nagar, Jaipur","Language Training Centres, Spoken english training",+911140121907_
107,IIHT Ltd.," Durgapura, Durgapura, Jaipur","Language Training Centres, Spoken english training",+911140125928_
108,Maharshi Classes,"22/15/01 Ground Floor Swan Path . , Mansarovar, Jaipur","Language Training Centres, Spoken english training",+919021116980_
109,IMS LALKOTHI," Apex Mall, Lal Kothi, Jaipur","Law Entrance Coaching, Law entrance exam coaching",+918657608031_
110,Bulls Eye," Gujar ki Thadi, Jaipur City S.O., Jaipur","Law Entrance Coaching, Law entrance exam coaching",+911140168094_
111,IMS Vaishali Nagar," India, Vaishali Nagar, jaipur","Law Entrance Coaching, Law entrance exam coaching",+911141136787_
112,IMS Learning Resources Pvt. Ltd.," India, Malviya Nagar, Jaipur","Law Entrance Coaching, Law entrance exam coaching",+917949071763_
113,CLATPREP EDUCATION," Sahkar Marg, Tonk Road, Jaipur","Law Entrance Coaching, Law entrance exam coaching",+911140139159_
114,Bhanwar Rathore Design Studio,"Jaipur, N.I. Road","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140139645_
115,Inspiration Art & Education," Chitrkut, Vaishali Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949073069_
116,The Futurist," Gopalpura Bypass Road, Gopalpura","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949072538_
117,Radiance Academy of Design," Guru Nanak Pura, Raja Park","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949070558_
118,Ananya Education," Kalwar Road, Jhotwara","NATA Coaching, ENGG / ARCH entrance exam coaching",
119,Plausible Education,"Vinoba Vihar, Malviya Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",
120,Genefite Career Academy,"Amrapali Marg, Vaishali Nagar, Jaipur","National Talent Search Exam (NTSE) Coaching, Online mock test series exam coaching",+911140167781_
121,Punia Group of Education," Madhyam Marg, Mansarovar","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
122,Excel Tutorials," Hawa Sarak, Civil Lines","National Talent Search Exam (NTSE) Coaching, Defence / police exam coaching",
123,INTEGRITY CLASSES," Durgapura, Durgapura","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
124,Reanas EduTech Pvt Ltd," Near Mahaveer International, Adarsh Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
125,infinity study solutions And Home Tuitions,"39 Mahadev Nagar Chitrakoot Vaishali Nagar near Akshardham Temple , Vaishali Nagar, Jaipur","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
126,CAknowledge," Ajmer Road, Ajmer Road","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
127,Samyak Education,"MNIT, Malviya Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
128,ExamInk,"Khatipura, Jaipur - 302012","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
129,Qualifiers,", Jaipur - ","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
130,Boon English Hub,"No. 3/327, Malviya Nagar","RRB Entrance Exam Coaching, Railways exam coaching",
131,Gurukul Classes," Paratap Nagar, Sanganer","RRB Entrance Exam Coaching, UPSC exam coaching",
132,Examzap.com," Nirman Nagar, Gopalpura Bypass Road, Jaipur","RRB Entrance Exam Coaching, Online mock test series exam coaching",
133,Parth Education,"Kailash Tower , Ambabari, Jaipur","RRB Entrance Exam Coaching, Online mock test series exam coaching",
134,Path coaching center," Ganeshpuri Khatipura, Jhotwara","RRB Entrance Exam Coaching, Online mock test series exam coaching",
135,ExamInk,"Khatipura, Jaipur - 302012","RRB Entrance Exam Coaching, UGC NET coaching",
136,Qualifiers,", Jaipur - ","RRB Entrance Exam Coaching, UGC NET coaching",
137,Engineers Academy," Kalishpuri, Tonk Road, Jaipur","RRB Entrance Exam Coaching, UPSC exam coaching",
138,Ujjwal Education Centre,"1st Floor, Sirsi Road","RRB Entrance Exam Coaching, UPSC exam coaching",
139,Rim Defence Academy," Kanta Choraha, Jhotwara","RRB Entrance Exam Coaching, UPSC exam coaching",
140,Harplani Home Tuition,"No. 65/123 heera path, Mansarovar","Chartered Accountant Coaching, Chartered accountant tuitions",
141,Jain home tutions,"Barh Devariya, Mansarovar","Chartered Accountant Coaching, Chartered accountant tuitions",
142,Career Launcher,"V.T. Road, Mansarovar","Chartered Accountant Coaching, Chartered accountant tuitions",
143,Choudhary Commerce Classes,"No. 4/475, Jawahar Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",
144,Dhruv Coaching Classes,"No. C/61, Janata Colony","Chartered Accountant Coaching, Chartered accountant tuitions",
145,Sachin Ajmera Classes,"Gandhi Nagar, Tonk Road","Chartered Accountant Coaching, Chartered accountant tuitions",
146,Qriyo Home Tuitions,"Madhyam Marg, Mansarovar","Chartered Accountant Coaching, Chartered accountant tuitions",
147,VS Classes," 3rd Floor, Bapu Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",
148,Harplani Home Tuition,"No. 65/123 heera path, Mansarovar, Jaipur","CACPT Coaching, Chartered accountant tuitions",
149,Jain home tutions,"Barh Devariya, Mansarovar, Jaipur","CACPT Coaching, Chartered accountant tuitions",
150,Career Launcher,"V.T. Road, Mansarovar","CACPT Coaching, Chartered accountant tuitions",
151,Choudhary Commerce Classes,"No. 4/475, Jawahar Nagar","CACPT Coaching, Chartered accountant tuitions",
152,Dhruv Coaching Classes,"No. C/61, Janata Colony","CACPT Coaching, Chartered accountant tuitions",
153,Sachin Ajmera Classes,"Gandhi Nagar, Tonk Road","CACPT Coaching, Chartered accountant tuitions",
154,Qriyo Home Tuitions,"Madhyam Marg, Mansarovar","CACPT Coaching, Chartered accountant tuitions",
155,VS Classes," 3rd Floor, Bapu Nagar","CACPT Coaching, Chartered accountant tuitions",
156,Institute of Financial Studies,"Lal kothi, Lal Kothi","Chartered Financial Analyst (CFA) Coaching, Finance certification tuitions",
157,Saurabh Finance Coaching,"University Marg, Bapu Nagar","Chartered Financial Analyst (CFA) Coaching, Finance certification tuitions",
158,Sobhis Centre For Commerce,"No. 2, Raja Park","Chartered Financial Analyst (CFA) Coaching, CFA tuitions",
159,Punia Group of Education," Madhyam Marg, Mansarovar","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
160,Landmark Group," Krishna Marg, Ajmer Road","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
161,EduAscent institute of Finance," Jaipur, Lalkothi","Chartered Financial Analyst (CFA) Coaching, Professional accounting tuitions",
162,Institute for Financial Literacy," Kamla Marg, C Scheme, Jaipur","Certified Financial Planner (CFP) Coaching, Finance certification tuitions",+911140169120_
163,Punia Group of Education," Madhyam Marg, Mansarovar","Certified Financial Planner (CFP) Coaching, Chartered accountant tuitions",
164,Landmark Group," Krishna Marg, Ajmer Road, Jaipur","Certified Financial Planner (CFP) Coaching, Chartered accountant tuitions",
165,Saurabh Finance Coaching,"University Marg, Bapu Nagar, Jaipur","Certified Financial Planner (CFP) Coaching, Finance certification tuitions",
166,Financial Clinic,"Panchyawala, Sirsi Road","Certified Financial Planner (CFP) Coaching, Finance certification tuitions",
167,Punia Education And Training Pvt. Ltd India," Madhyam Marg, Mansarovar","Certified Financial Planner (CFP) Coaching, Chartered accountant tuitions",
168,Punia Group of Education," Madhyam Marg, Mansarovar","Certified Financial Executive (CFX) Coaching, Chartered accountant tuitions",
169,Landmark Group," Krishna Marg, Ajmer Road, Jaipur","Certified Financial Executive (CFX) Coaching, Chartered accountant tuitions",
170,Professional Training Academy,"New Sanganer Road, Sodala","Certified Financial Executive (CFX) Coaching, Finance certification tuitions",
171,Harplani Home Tuition,"No. 65/123 heera path, Mansarovar","CMA Coaching, Chartered accountant tuitions",
172,Dhruv Coaching Classes,"No. C/61, Janata Colony","CMA Coaching, Chartered accountant tuitions",
173,Sachin Ajmera Classes,"Gandhi Nagar, Tonk Road","CMA Coaching, Chartered accountant tuitions",
174,Qriyo Home Tuitions,"Madhyam Marg, Mansarovar","CMA Coaching, Chartered accountant tuitions",
175,CCUBE CLASSES," Brampuri, Amer Road","CMA Coaching, CMA Cost Accountant tuitions",
176,VS Classes," 3rd Floor, Bapu Nagar","CMA Coaching, Chartered accountant tuitions",
177,Eduway Best Home Tuition & Home Tutor," Central Spine, Vidhyadhar Nagar","CMA Coaching, Chartered accountant tuitions",
178,Victory Sure Classes,"Mangal Marg, Bapu Nagar","CMA Coaching, Chartered accountant tuitions",
179,Harplani Home Tuition,"No. 65/123 heera path, Mansarovar","Company Secretary (CS) Coaching, Chartered accountant tuitions",
180,Commerce Master," 2nd Floor, Vidhyadhar Nagar","Company Secretary (CS) Coaching, Company secretary tuitions",
181,Disha Dhruv Academy,"Udyog Nagar, Jhotwara","Company Secretary (CS) Coaching, Company secretary tuitions",
