,NAME,LOCATION,COURSES,CONTACT NO.
248,Anand Nopany Classes," Block C., Bangur Avenue, Kolkata","ICWA Coaching, Chartered accountant tuitions",+911140016667_
249,KP Academy Tuitions,Also Servicing in Kolkata,"Spoken Hindi Classes, Indian language training",+918043691673_
250,Alhamdulillah Centre,Also Servicing in Kolkata,"Spoken Hindi Classes, Indian language training",+914449850108_
251,Complete Coaching Centre (Especially - Hindi Prachar Sabha),Also Servicing in Kolkata,"Spoken Hindi Classes, Indian language training",+914449910129_
252,Tuitions,"Ichapur Road, Nawabganj","Spoken Hindi Classes, Indian language training",
253,Ambition Coaching Centre,"Railpukur Road, Baguiati","Spoken Hindi Classes, Indian language training",
254,Learning Plus,"Pathbari lane, Bara Nagar","Spoken Hindi Classes, Indian language training",
255,Wisdom tuition centre,"Parnasri Pally, Behala","Spoken Hindi Classes, Indian language training",
256,Lizaheer," Rajdanga Main Road, Kasba","Spoken Hindi Classes, Indian language training",
257,Mahua Roy,"North Purbachal, Haltu","Spoken Hindi Classes, Indian language training",
258,Ahaanaa Baanerjee," 3rd Floor, Bangur Avenue","Spoken Hindi Classes, Indian language training",
259,Effective English," Amherst Street, College Street","Spoken English Classes, Spoken english training",+911140137655_
260,Xbridge,"Kolkata - 700004, Shyam Bazar","Spoken English Classes, Spoken english training",+911140467304_
261,Bikramshila Study Centre," Dharmata Road, Dhakuria","Spoken English Classes, Spoken english training",+911140116144_
262,Career Guide," Harakali Colony, Dum Dum","Spoken English Classes, Spoken english training",+911140139383_
263,Dynavision Digitech Pvt. Ltd.," Sector V, Salt Lake City","Spoken English Classes, Foreign language training",+911140166256_
264,White Dove Foundation," Kolkata , Salt Lake City","Spoken English Classes, Spoken english training",+911140119334_
265,Career Guide," Sector-1, Salt Lake City","Spoken English Classes, Foreign language training",+911140016544_
266,Mentors Center For Language Training," Ultadanga Road, Shyam Bazaar","Spoken English Classes, Indian language training",+911140116771_
267,Debashis Dutta Biswas," parnashree pally, Behala","Spoken English Classes, Spoken english training",+911140165638_
268,NewtonGATE," Kendua Moore, Garia","Spoken English Classes, Spoken english training",+911140145746_
269,Career Point Institute,"Sarat Bose Road, Kalighat","Spoken Bengali Classes, Indian language training",
270,Mandira Ananta Tutorials,"Ritchie Road, Ballygunge","Spoken Bengali Classes, Indian language training",
271,Ambition Coaching Centre,"Railpukur Road, Baguiati","Spoken Bengali Classes, Indian language training",
272,Direction Education Services,"Narayanpur, Rajarhat","Spoken Bengali Classes, Indian language training",
273,Learning Plus,"Pathbari lane, Bara Nagar","Spoken Bengali Classes, Indian language training",
274,Education hub,"Prafulla Kanan Rabindrapally , Kestopur","Spoken Bengali Classes, Indian language training",
275,sikhshalaya study point," Tollygunge, Tollygunge","Spoken Bengali Classes, Indian language training",
276,Tuition / Study Center," Katjunagar, Jodhpur Park","Spoken Bengali Classes, Indian language training",
277,Mahua Roy,"North Purbachal, Haltu","Spoken Bengali Classes, Indian language training",
278,Vidya,"Beadon Street, Azad Hind Bag","Spoken Bengali Classes, Indian language training",
279,ED Care Institute of Studies," Block-C, Bangur Avenue","Spoken Kannada Classes, Indian language training",
280,Ambition Coaching Centre,"Railpukur Road, Baguiati","Spoken Kannada Classes, Indian language training",
281,Learning Plus,"Pathbari lane, Bara Nagar","Spoken Kannada Classes, Indian language training",
282,Mahua Roy,"North Purbachal, Haltu","Spoken Kannada Classes, Indian language training",
283,Vidya,"Beadon Street, Azad Hind Bag","Spoken Kannada Classes, Indian language training",
284,www.advancecomputereducat,"Nazirabad Main Road, Kasba","Spoken Kannada Classes, Indian language training",
285,Ratan Kumar Ghosh,"Naktala, Garia","Spoken Kannada Classes, Indian language training",
286,"WizMantra IELTS, English & French Classes","East Kolkata Township, Kolkata - ","Spoken Kannada Classes, Indian language training",
287,Gigabyte Frontline Institute Pvt. Ltd.,"Block A, Lake Town","Spoken Kannada Classes, Indian language training",
288,The Professional Educare,"Girish Park, Baguiati","Spoken Kannada Classes, Indian language training",
289,Taksheela Institute of Education," Palm Avenue, Ballygunge","GMAT Coaching, Management entrance exam coaching",+911140137846_
290,Eduaims Educational Services Pvt. Ltd.," Ballygunj Circular Road, Ballygunge","GMAT Coaching, Management entrance exam coaching",+911140137563_
291,Cubix Educational Institute Pvt. Ltd.," Kamdhenu Building, Park Street","GMAT Coaching, Management entrance exam coaching",+911140139860_
292,Vidya.com Consultancy Pvt. Ltd.,"Saha Para, Tollygunge","GMAT Coaching, Management entrance exam coaching",+911140135189_
293,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolkata,"GMAT Coaching, Law entrance exam coaching",+919066021467_
294,Ravi Raja's Classes,"Sarat Bose Road, Bhowanipore","GMAT Coaching, Management entrance exam coaching",+911140169504_
295,Erudite Education," Camac Street, Park Street","GMAT Coaching, Management entrance exam coaching",+911140166833_
296,IMS Learning Resources Pvt. Ltd.," Hungerford Street, Elgin","GMAT Coaching, Law entrance exam coaching",+911141109586_
297,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat","GMAT Coaching, Law entrance exam coaching",+919883014949_
298,Education & You," Kundal Lal Saighal Sarani., New Alipore","GMAT Coaching, Management entrance exam coaching",+911140118352_
299,Taksheela Institute of Education," Palm Avenue, Ballygunge, Kolkata","GRE Coaching, Management entrance exam coaching",+911140137846_
300,Eduaims Educational Services Pvt. Ltd.," Ballygunj Circular Road, Ballygunge, Kolkata","GRE Coaching, Management entrance exam coaching",+911140137563_
301,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge, Kolkata","GRE Coaching, Foreign education entrance exam coaching",+911140132596_
302,Cubix Educational Institute Pvt. Ltd.," Kamdhenu Building, Park Street, Kolkata","GRE Coaching, Management entrance exam coaching",+911140139860_
303,Vidya.com Consultancy Pvt. Ltd.,"Saha Para, Tollygunge, Kolkata","GRE Coaching, Management entrance exam coaching",+911140135189_
304,IMS Learning Resources Pvt. Ltd.,Also Servicing in Kolkata,"GRE Coaching, Law entrance exam coaching",+919066021467_
305,Ravi Raja's Classes,"Sarat Bose Road, Bhowanipore, Kolkata","GRE Coaching, Management entrance exam coaching",+911140169504_
306,IMS Learning Resources Pvt. Ltd.," Hungerford Street, Elgin, Kolkata","GRE Coaching, Law entrance exam coaching",+911141109586_
307,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat, Kolkata","GRE Coaching, Law entrance exam coaching",+919883014949_
308,Education & You," Kundal Lal Saighal Sarani., New Alipore, Kolkata","GRE Coaching, Management entrance exam coaching",+911140118352_
309,Taksheela Institute of Education," Palm Avenue, Ballygunge","IELTS Coaching, Management entrance exam coaching",+911140137846_
310,Sc Overseas Consultancy Services Pvt. Ltd.," 4th Floor, Dalhousie","IELTS Coaching, Foreign education entrance exam coaching",+911140166337_
311,Blue Sky Educational Services Pvt. Ltd.," India, Ballygunge","IELTS Coaching, Foreign education entrance exam coaching",+911140132596_
312,Worldwin," Nr Tank 9, Salt Lake City","IELTS Coaching, Management entrance exam coaching",+911140136052_
313,Vidya.com Consultancy Pvt. Ltd.,"Saha Para, Tollygunge","IELTS Coaching, Management entrance exam coaching",+911140135189_
314,Study Smart,Also Servicing in Kolkata,"IELTS Coaching, Foreign education entrance exam coaching",
315,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat","IELTS Coaching, Law entrance exam coaching",+919883014949_
316,Kaberi Chakraborty," Sector 1, Salt Lake City","IELTS Coaching, Foreign education entrance exam coaching",+911140137984_
317,Career Guide," Sector-1, Salt Lake City","IELTS Coaching, Law entrance exam coaching",+911140016544_
318,Education & You," Kundal Lal Saighal Sarani., New Alipore","IELTS Coaching, Management entrance exam coaching",+911140118352_
319,Taksheela Institute of Education," Palm Avenue, Ballygunge, Kolkata","IELTS Online Coaching, Management entrance exam coaching",+911140137846_
320,Worldwin," Nr Tank 9, Salt Lake City, Kolkata","IELTS Online Coaching, Management entrance exam coaching",+911140136052_
321,Study Smart,Also Servicing in Kolkata,"IELTS Online Coaching, Foreign education entrance exam coaching",
322,Diksha Learning Services Pvt. Ltd.," Hindustan Park, Gariahat, Kolkata","IELTS Online Coaching, Law entrance exam coaching",+919883014949_
323,Career Guide," Sector-1, Salt Lake City, Kolkata","IELTS Online Coaching, Law entrance exam coaching",+911140016544_
324,L & S LANGUAGE ACADEMY," India, Dum Dum, Kolkata","IELTS Online Coaching, Foreign education entrance exam coaching",+919021108895_
325,Acceleration," Bus Stand, Salt Lake City","IELTS Online Coaching, Management entrance exam coaching",+911140166748_
326,Anannt Training Institute,Also Servicing in Kolkata,"IELTS Online Coaching, Management entrance exam coaching",+912249433390_
327,IELTSguru Consulting,Also Servicing in Kolkata,"IELTS Online Coaching, Foreign education entrance exam coaching",+918048103090_
328,Cadd Centre Ultadanga," Scheme 7m, Salt Lake City, Kolkata","IELTS Online Coaching, Foreign education entrance exam coaching",+919883029934_
329,Taksheela Institute of Education," Palm Avenue, Ballygunge","PTE Coaching, Management entrance exam coaching",+911140137846_
