,NAME,LOCATION,COURSES,CONTACT NO.
52,Career Institute Since 1990," MG Road, Borivali East, Mumbai","AMIE Coaching, Law entrance exam coaching",+912249410840_
53,EasyLearning,"Jai Bharat Housing Society Ganesh Mandir 90 Fe, Sakinaka, Mumbai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
54,Velmurugan Tutor," P DOT G EXPRESS 91 GANDHI STREET MANIKANDAN NAGAR, Panvel","AMIE Coaching, ENGG / ARCH entrance exam coaching",+912249430396_
55,Jinal Dedia," Malad East, Malad West, Mumbai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
56,Rakesh Ranjan,"New Panvel, New Panvel East, Mumbai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
57,Mahak Tutorials,"Veer Savarkar Road, Borivali East, Mumbai","AMIE Coaching, ENGG / ARCH entrance exam coaching",
58,Ashish Tutorials,"Datta Mandir Road, Malad East","AMIE Coaching, Law entrance exam coaching",
59,Spectrum Academy,"2nd Floor, Thane West","AMIE Coaching, ENGG / ARCH entrance exam coaching",
60,IBOP Academy," Ganesh Niwash 3, Borivali West, Mumbai",Bank Exam Coaching,+912249426938_
61,Study Campus," Chandavarkar Road, Borivali West, Mumbai",Bank Exam Coaching,+912249440367_
62,Indian Institute of Knowledge & Development," Anand Nagar, Vasai West, Mumbai",Bank Exam Coaching,+912249410933_
63,The Gurukul India," Sai Sharan, Vasai West, Mumbai",Bank Exam Coaching,+912249428302_
64,Planet.e," Dadar East, Dadar East, Mumbai",Bank Exam Coaching,+912249440254_
65,Rajmudra IAS Academy," shree Ambika Heritage , Kharghar, Mumbai",Bank Exam Coaching,+912249426594_
66,Tutor Jar,"Boriwali West, Borivali West, Mumbai",Bank Exam Coaching,+912249427242_
67,Kiran IAS Academy," Lohar Aali, Thane West, Mumbai",Bank Exam Coaching,+912249411022_
68,Bankers Pathshala," Chandavarkar Road., Borivali West, Mumbai",Bank Exam Coaching,+912249411070_
69,Career Academy," opposite bhayander railway station, Bhayander East, Mumbai",Bank Exam Coaching,+912249412051_
70,The Prayas India," Centre Square , Andheri West, Mumbai","CAT Coaching Centers, Law entrance exam coaching",+912249433084_
71,The Prayas India," SV Road, Borivali West, Mumbai","CAT Coaching Centers, Law entrance exam coaching",+912249434184_
