,NAME,LOCATION,COURSES,CONTACT NO.
57,Learn With Rikhil Nagpal," Sapna Sangeeta Road, Sapna Sangeeta Road, Indore","Multimedia Design Training, Adobe training",+917949074406_
58,Arya Animation Academy & Studio,Also Servicing in Indore,"Multimedia Design Training, Adobe training",+911140168878_
59,Arena Animation," Tower Square, Bhanvarkuan","Multimedia Design Training, Animation & Multimedia training",
60,Balaji Tutorials," AB Road, Navlakha Road","AMIE Coaching, Management entrance exam coaching",
61,G.N.G. Classes,"M G Road, Indore - 452001","AMIE Coaching, Management entrance exam coaching",
62,S.P. Education,"M G Road, Indore - 452001","AMIE Coaching, Management entrance exam coaching",
63,CAI (Commerce Age Institute)," RNT Marg, South Tukoganj","AMIE Coaching, Management entrance exam coaching",
64,Graduate Academy,Also Servicing in Indore,"AMIE Coaching, ENGG / ARCH entrance exam coaching",+911140120168_
65,Graduate Academy," 2nd floor, Ambedkar Nagar","AMIE Coaching, ENGG / ARCH entrance exam coaching",+917949070952_
66,The Gate Academy,Also Servicing in Indore,"AMIE Coaching, Law entrance exam coaching",+914449919914_
67,Spell Classes," Sapphire Square, Sapna Sangeeta Road, Indore","AMIE Coaching, Management entrance exam coaching",
68,Pace IIT & Medical," 321-A, MG Road, Indore","AMIE Coaching, Management entrance exam coaching",
69,Nagar Chemistry Tutorials," near Industry house A.B.Road mob.9993688360, Palasia, Indore","AMIE Coaching, ENGG / ARCH entrance exam coaching",
70,IILMT - Institute of Integrated Learning in Management & Technology,Also Servicing in Indore,Bank Exam Coaching,
71,Mathematica-The Complete Education,"Sai Ram , Bhanvarkuan",Bank Exam Coaching,+917949072079_
72,Hello Tutors,"No. 134, Raj Mohalla",Bank Exam Coaching,
73,The Career Guru,"No. 7, Vijay Nagar",Bank Exam Coaching,
74,Stalwart Career Institute," near Gurjar Hospital, Bhanwar Kuwa, Indore",Bank Exam Coaching,
75,Engineering Zone," Scheme 134, Vijay Nagar",Bank Exam Coaching,
76,Morya Academy," Ranjeet Hanuman Road, Swastik Nagar, Indore",Bank Exam Coaching,
77,harshall' banking learning centre,"58 anand nagar inox, Sapna Sangeeta Road",Bank Exam Coaching,
78,BRS GURU Banking Coaching Centre,"Mumbai, Rajendra Nagar",Bank Exam Coaching,
79,Saraswati Coaching and Computer Institute,"Saraswati Nagar, Indore - 452009",Bank Exam Coaching,
80,Headache Tutorials," Palasia, Indore H O, Indore","CAT Coaching Centers, Law entrance exam coaching",+919021117817_
81,IMS Learning Resources Pvt. Ltd,"Main Road, Sadar Bazar, Indore","CAT Coaching Centers, Management entrance exam coaching",+917949073424_
82,Mathematica-The Complete Education,"Sai Ram , Bhanvarkuan","CAT Coaching Centers, Law entrance exam coaching",+917949072079_
83,CH EdgeMakers," Janjeerwala Square, Palasia, Indore","CAT Coaching Centers, Management entrance exam coaching",+917949070728_
84,IMS Learning Resources Pvt. Ltd.,Also Servicing in Indore,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
85,Amity Institute For Competitive Examinations,Also Servicing in Indore,"CAT Coaching Centers, Management entrance exam coaching",+911140126612_
86,AptitudeMate,Also Servicing in Indore,"CAT Coaching Centers, Law entrance exam coaching",+911140120301_
87,Guru's Classes,Also Servicing in Indore,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
88,The Prayas India,Also Servicing in Indore,"CAT Coaching Centers, Law entrance exam coaching",+912249433642_
89,Mindbroker Consulting Training," Vijaynagar square, Vijay Nagar, Indore","CAT Coaching Centers, Law entrance exam coaching",+917949070468_
90,Headache Tutorials," Palasia, Indore H O, Indore","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919021117817_
91,Mathematica-The Complete Education,"Sai Ram , Bhanvarkuan","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+917949072079_
92,CH EdgeMakers," Janjeerwala Square, Palasia, Indore","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917949070728_
93,IMS Learning Resources Pvt. Ltd.,Also Servicing in Indore,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
94,AptitudeMate,Also Servicing in Indore,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140120301_
95,Guru's Classes,Also Servicing in Indore,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
96,The Prayas India,Also Servicing in Indore,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249433642_
97,Mindbroker Consulting Training," Vijaynagar square, Vijay Nagar, Indore","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+917949070468_
98,Stalwart Career Institute," near Gurjar Hospital, Bhanwar Kuwa, Indore","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
99,Morya Academy," Ranjeet Hanuman Road, Swastik Nagar, Indore","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
100,CAI (Commerce Age Institute)," RNT Marg, South Tukoganj","CTET Coaching, UPSC exam coaching",
101,Pathasthali," Madhya Pradesh., Old Palasia, Indore","CTET Coaching, UGC NET coaching",
102,Unnati Academy,"10 Jagjeevan Ram Nagar patnipura indore, LIG Colony, Indore","CTET Coaching, UPSC exam coaching",
103,Current Test,"Vijay Nagar, Indore - 452010","CTET Coaching, UGC NET coaching",
104,Balaji Tutorials,"Thakur bhavan Bhavarkuan Square, Bhanwar Kuwa, Indore","CTET Coaching, Teachers exam coaching",+917949074212_
105,The Gate Academy,Also Servicing in Indore,"CTET Coaching, UGC NET coaching",+914449919914_
106,ICH Institute,"No. 54, Vijay Nagar, Indore","CTET Coaching, UPSC exam coaching",
107,Panjrath Classes," Kalani Nagar Square, Sukhdev Nagar, Indore","CTET Coaching, UPSC exam coaching",
108,Destiny Classes," New Palasia, M G Road, Indore","CTET Coaching, UPSC exam coaching",
109,C9 Kurukshetra Carrer Academy," Bhawarkua, Bhanvarkuan, Indore","CTET Coaching, UPSC exam coaching",
110,Hello Tutors,"No. 134, Raj Mohalla","IBPS Bank Interview Coaching, Bank exam coaching",
111,The Career Guru,"No. 7, Vijay Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
112,Stalwart Career Institute," near Gurjar Hospital, Bhanwar Kuwa, Indore","IBPS Bank Interview Coaching, Bank exam coaching",
113,Engineering Zone," Scheme 134, Vijay Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
114,Morya Academy," Ranjeet Hanuman Road, Swastik Nagar, Indore","IBPS Bank Interview Coaching, Bank exam coaching",
115,Balaji Tutorials," AB Road, Navlakha Road","IBPS Bank Interview Coaching, Bank exam coaching",
116,G.N.G. Classes,"M G Road, Indore - 452001","IBPS Bank Interview Coaching, Bank exam coaching",
117,S.P. Education,"M G Road, Indore - 452001","IBPS Bank Interview Coaching, Bank exam coaching",
118,Race To Top Academy," 1st Floor, A.B. Road","IBPS Bank Interview Coaching, Bank exam coaching",
119,Career Launcher,"Yes Bank MG Road, MG Road","IBPS Bank Interview Coaching, Bank exam coaching",
120,IMS Learning Resources Pvt. Ltd.,Also Servicing in Indore,"KMAT Coaching, Law entrance exam coaching",+919066021467_
121,AptitudeMate,Also Servicing in Indore,"KMAT Coaching, Law entrance exam coaching",+911140120301_
122,Renovative Academy," Sch No.54, Vijay Nagar, Indore","KMAT Coaching, Management entrance exam coaching",
123,The Gate Academy,Also Servicing in Indore,"KMAT Coaching, Law entrance exam coaching",+914449919914_
124,Tutor's Expert," Ahinsa Tower, MG Road, Indore","KMAT Coaching, Law entrance exam coaching",
125,Options Overseas," Zanjeerwala Square 7/1, Race Course Road","KMAT Coaching, Law entrance exam coaching",
126,We Coach Insti,Also Servicing in Indore,"KMAT Coaching, Law entrance exam coaching",+912249434380_
127,Elan Academy,Also Servicing in Indore,"KMAT Coaching, Management entrance exam coaching",+917569008302_
128,Achivers Classes,"No. 113, Bhanvarkuan","KMAT Coaching, Management entrance exam coaching",
129,AB Tutorials,"AB Road, Bhanvarkuan","KMAT Coaching, Management entrance exam coaching",
130,Hello Tutors," Apollo Square, New Palasia, Indore","Language Training Centres, Foreign language training",+917949076104_
131,New Look Institute Of English,"No. 6/6 Near Geeta Bhawan, Manorama Ganj","Language Training Centres, Spoken english training",+917949074412_
132,Feinheit Language Classes,Also Servicing in Indore,"Language Training Centres, Foreign language training",+911141136709_
133,Samyak Computer Classes - 25 Branches," Above Apna Sweets A.B. Road , Vijay Nagar, Indore","Language Training Centres, Spoken english training",+917569001325_
134,Fundaskill Services (OPC) Pvt. Ltd.,Also Servicing in Indore,"Language Training Centres, Foreign language training",+918048042700_
135,Zeal For Fluency,"Bhanvarkuan, Indore H O, Indore","Language Training Centres, Spoken english training",+917949073081_
136,Hola Amigo,"No. 334/102, Saket Nagar, Indore","Language Training Centres, Foreign language training",+917949072067_
137,O3 Online Spoken English Classes,Also Servicing in Indore,"Language Training Centres, Spoken english training",+911140130203_
138,SONAJAPAN JAPANESE LANGUAGE ACADEMY,Also Servicing in Indore,"Language Training Centres, Foreign language training",+912249427695_
139,Manish Dhangar Classes For Spoken English & Communication,Also Servicing in Indore,"Language Training Centres, Spoken english training",+911141109791_
140,Law Prep Tutorials," Old Agarwal Nagar, Sapna Sangeeta Road, Indore","Law Entrance Coaching, Law entrance exam coaching",+917949070506_
141,Headache Tutorials," Palasia, Indore H O, Indore","Law Entrance Coaching, Law entrance exam coaching",+919021117817_
142,Success Mantra,Also Servicing in Indore,"Law Entrance Coaching, Law entrance exam coaching",+911140130921_
143,Vidhigya CLAT Tutorials,"Gita Bhawan Rd, South Tukoganj, Indore","Law Entrance Coaching, Law entrance exam coaching",+911140131056_
144,Mathematica-The Complete Education,"Sai Ram , Bhanvarkuan","Law Entrance Coaching, Law entrance exam coaching",+917949072079_
145,Success Mantra Foundation,Also Servicing in Indore,"Law Entrance Coaching, Law entrance exam coaching",+911140147563_
146,IMS Learning Resources Pvt. Ltd.,Also Servicing in Indore,"Law Entrance Coaching, Law entrance exam coaching",+919066021467_
147,AptitudeMate,Also Servicing in Indore,"Law Entrance Coaching, Law entrance exam coaching",+911140120301_
148,Mindbroker Consulting Training," Vijaynagar square, Vijay Nagar, Indore","Law Entrance Coaching, Law entrance exam coaching",+917949070468_
149,Indore Institute of Law,"No. 114, Rau","Law Entrance Coaching, Law entrance exam coaching",
150,Rajendra Bhatia's Design IFAAA," Madhya Pradesh, Sapna Sangeeta Road","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949072489_
151,Pahaldesign Education Pvt. Ltd.,"Hamilton Road, Indore - 452001","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949073570_
152,PDA Indore," Tower Road, Indore H O","NATA Coaching, ENGG / ARCH entrance exam coaching",+919021115378_
153,Silica,"Janjeerwala Square, Race Course Road","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140139757_
154,Design Aspirants," Next to Murliwala Sweets, Vijay Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",+917569008509_
155,Academy Of Fashion & Art,Also Servicing in Indore,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140140245_
156,The Design Venue," New Palasia, Palasia","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140121697_
157,Sambhav Design Studio," Anmol Sagar Building , New Palasia","NATA Coaching, ENGG / ARCH entrance exam coaching",+917949072673_
158,My Design Studio,Also Servicing in Indore,"NATA Coaching, ENGG / ARCH entrance exam coaching",+911140140990_
159,Perspection Academy,"No. 22, Old Palasia","NATA Coaching, ENGG / ARCH entrance exam coaching",
160,Allen Career Institute,Also Servicing in Indore,"National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
161,Allen Career Institute," Manoramaganj, A.B. Road","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",+917949073416_
162,Stalwart Career Institute," near Gurjar Hospital, Bhanwar Kuwa, Indore","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
163,Math Mentor," Khatiwal Tank, ManikBagh, Indore","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
164,Alikas,"kanadia road , Vaibhav Nagar","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
165,Tomar chemistry tutorial,"G2 kanta apartments , Manorama Ganj, Indore","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
166,Pathasthali," Madhya Pradesh., Old Palasia, Indore","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
167,NTSE Guru,", Indore - 452016","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
168,Current Test,"Vijay Nagar, Indore - 452010","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
169,Coaching classes,"Banganga, Indore - 452015","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
170,IILMT - Institute of Integrated Learning in Management & Technology,Also Servicing in Indore,"RRB Entrance Exam Coaching, Defence / police exam coaching",
171,Rise Education,"NO. 10, Sector A","RRB Entrance Exam Coaching, SSC exam coaching",
172,The Career Guru,"No. 7, Vijay Nagar","RRB Entrance Exam Coaching, Railways exam coaching",
173,UPSC Coaching Centres,"Bhanvarkuan, Indore - 452001","RRB Entrance Exam Coaching, UPSC exam coaching",
174,Stalwart Career Institute," near Gurjar Hospital, Bhanwar Kuwa, Indore","RRB Entrance Exam Coaching, UPSC exam coaching",
175,Tathagat IAS," Transport Nagar, Bhanvarkuan","RRB Entrance Exam Coaching, UPSC exam coaching",
176,Morya Academy," Ranjeet Hanuman Road, Swastik Nagar, Indore","RRB Entrance Exam Coaching, UPSC exam coaching",
177,S.S. Cool Care,Also Servicing in Indore,"RRB Entrance Exam Coaching, UGC NET coaching",
178,Tatva gyan ias academy," near mig thana indore, M.I.G. Main Road, indore","RRB Entrance Exam Coaching, UPSC exam coaching",
179,Nishkarsh Academy indore,"Bhawarkua Main Rd, Vidya Nagar, Indore","RRB Entrance Exam Coaching, UPSC exam coaching",
180,Pace Educare Private Limited,"rnt marg, Marg Indore","Chartered Accountant Coaching, Chartered accountant tuitions",+917569003629_
181,Samridhh fincoach,Also Servicing in Indore,"Chartered Accountant Coaching, Chartered accountant tuitions",+917949072391_
182,Lakshya CA,"Rnt Marg, Tukoganj","Chartered Accountant Coaching, Chartered accountant tuitions",
183,Sourabh Bhardwaj & Company," Indore - 452001, Indore H O","Chartered Accountant Coaching, Chartered accountant tuitions",+917949076447_
184,Hello Tutors,"No. 134, Raj Mohalla","Chartered Accountant Coaching, Chartered accountant tuitions",
185,Mangal Sangam English Club,"Anand Bazar, Saket Nagar","Chartered Accountant Coaching, Chartered accountant tuitions",
186,Nimawat Coaching Class,"No. 55, Bhanvarkuan","Chartered Accountant Coaching, Chartered accountant tuitions",
187,Prateek Katre,"Shri Mangal Nagar Bicholi Hapsi Road, Bengali Square","Chartered Accountant Coaching, Chartered accountant tuitions",
188,Height Tutorials," 5 Floor, MG Road","Chartered Accountant Coaching, Chartered accountant tuitions",
189,CACSMBA.COM INDORE CHAPTER,"Indore Marketing Agency Khandelwal Nagar near Navlkha Square, Navlakha","Chartered Accountant Coaching, Chartered accountant tuitions",
190,Pace Educare Private Limited,"rnt marg, Marg Indore","CACPT Coaching, Chartered accountant tuitions",+917569003629_
191,Samridhh fincoach,Also Servicing in Indore,"CACPT Coaching, Chartered accountant tuitions",+917949072391_
192,Lakshya CA,"Rnt Marg, Tukoganj","CACPT Coaching, Chartered accountant tuitions",
193,Sourabh Bhardwaj & Company," Indore - 452001, Indore H O, Indore","CACPT Coaching, Chartered accountant tuitions",+917949076447_
194,Hello Tutors,"No. 134, Raj Mohalla","CACPT Coaching, Chartered accountant tuitions",
195,Mangal Sangam English Club,"Anand Bazar, Saket Nagar","CACPT Coaching, Chartered accountant tuitions",
196,Nimawat Coaching Class,"No. 55, Bhanvarkuan","CACPT Coaching, Chartered accountant tuitions",
197,Prateek Katre,"Shri Mangal Nagar Bicholi Hapsi Road, Bengali Square","CACPT Coaching, Chartered accountant tuitions",
198,Height Tutorials," 5 Floor, MG Road, Indore","CACPT Coaching, Chartered accountant tuitions",
199,CACSMBA.COM INDORE CHAPTER,"Indore Marketing Agency Khandelwal Nagar near Navlkha Square, Navlakha","CACPT Coaching, Chartered accountant tuitions",
200,IMS Proschool Pvt. Ltd.,Also Servicing in Indore,"Chartered Financial Analyst (CFA) Coaching, Finance certification tuitions",
201,Maheshwari Institute of Careers & Research," 316 Dm Tower, Palasia","Chartered Financial Analyst (CFA) Coaching, Finance certification tuitions",+919021118006_
202,CACSMBA.COM INDORE CHAPTER,"Indore Marketing Agency Khandelwal Nagar near Navlkha Square, Navlakha","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
203,EduQuint," opposite Royal enfield showroom Indore, Indore H O","Chartered Financial Analyst (CFA) Coaching, Chartered accountant tuitions",
