,NAME,LOCATION,COURSES,CONTACT NO.
58,IMS Learning Resources Pvt. Ltd.," Sapru Marg, Hazratganj, Lucknow","CAT Coaching Centers, Law entrance exam coaching",+919021117605_
59,T.I.M.E.," Sky Business Center, Mahanagar, Lucknow","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140166979_
60,Fundamakers," Aliganj, Jankipuram, Lucknow","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569012061_
61,Educate Next," Near Bhootnath, Indira Nagar, Lucknow","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140130977_
62,IMS Learning Resources Pvt. Ltd.," Sapru Marg, Hazratganj, Lucknow","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919021117605_
63,Edunext India,"Nawal Kishore Road, Hazratganj","Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",
64,KOSHIKA ACADEMY," Aliganj Kapoorthala, Aliganj","CTET Coaching, Teachers exam coaching",+917569011994_
65,New Vedanta Classes," Kanpur Road, Alambagh","CTET Coaching, UGC NET coaching",+911140128079_
66,Brigth Future Coaching Institute," Kalyanpur, Kalyanpur Ring Road","CTET Coaching, Teachers exam coaching",
67,Aadidev Career Counsellor,"Faizabad Road, Indira Nagar, Lucknow","CTET Coaching, UPSC exam coaching",
68,Tara Institute,"No. C/25, Aliganj","CTET Coaching, Teachers exam coaching",
69,Perfect Education Point,"Karamat Market, Lucknow","CTET Coaching, UPSC exam coaching",
70,SBIO Vision Academy,"Chadralok, Aliganj, Lucknow","CTET Coaching, UPSC exam coaching",
71,skynercreation.com," faizabad Road lucknow, Faizabad Road, Lucknow","CTET Coaching, UGC NET coaching",
72,Engineer's Point Coaching,"Adhohi Road, Kakori","CTET Coaching, UPSC exam coaching",
73,Gurukul Academy," chandaralook Aliganj , Kapoorthala, Lucknow","CTET Coaching, UGC NET coaching",
74,Avadh Tutorials,"Kanpur Road, Charbagh","IBPS Bank Interview Coaching, Bank exam coaching",
75,Computer Empire,"Faizabad Road, Nishatganj","IBPS Bank Interview Coaching, Bank exam coaching",
76,Sparkle English Classes,"Central Water Commission Office, Kapoorthala","IBPS Bank Interview Coaching, Bank exam coaching",
77,URIT EDUCATION," CAMPWELL ROAD, Balaganj","IBPS Bank Interview Coaching, Bank exam coaching",
78,Universal School of Business Intelligence,"Secto 12, Indira Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
79,The Winner Competition Academy," Ashiana Colony, Lucknow, Lucknow","IBPS Bank Interview Coaching, Bank exam coaching",
80,Tara Institute,"No. C/25, Aliganj","IBPS Bank Interview Coaching, Bank exam coaching",
81,Manthan Academy,"No.403/3, Gomti Nagar","IBPS Bank Interview Coaching, Bank exam coaching",
82,Naman Academy,"C.S.TOWER NEAR PHOENIX MALL BARABIRWA, Alambagh, Lucknow","IBPS Bank Interview Coaching, Bank exam coaching",
83,Abhishek Tripathi Educator,"No. M/14, Kanpur Road","IBPS Bank Interview Coaching, Bank exam coaching",
84,IMS Learning Resources Pvt. Ltd.," Sapru Marg, Hazratganj, Lucknow","KMAT Coaching, Law entrance exam coaching",+919021117605_
85,Edunext India,"Nawal Kishore Road, Hazratganj","KMAT Coaching, Management entrance exam coaching",
86,GD Classes,"Ashiana, Lucknow - ","KMAT Coaching, Management entrance exam coaching",
87,CATaPult Classes,"Kapoorthala, Lucknow - 226022","KMAT Coaching, Law entrance exam coaching",
88,Tamec Private Limited,"Hazratganj, Lucknow - 226001","KMAT Coaching, Law entrance exam coaching",
89,RCCA Commerce Classes," Sector N, Aliganj, Lucknow","KMAT Coaching, Management entrance exam coaching",
90,PIITL Foreign Languages," Indira Nagar, Kapoorthala, Lucknow","Language Training Centres, Foreign language training",+911140166489_
91,T.I.M.E.," Sky Business Center, Mahanagar, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+911140166979_
92,Educate Next," Near Bhootnath, Indira Nagar, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+911140130977_
93,IMS Learning Resources Pvt. Ltd.," Sapru Marg, Hazratganj, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+919021117605_
94,Centurion Defence Academy," SSB, Alambagh, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+919021122469_
95,Career Capital,"B1/160, Aliganj, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+911140130345_
96,Law Wiz Classes," Kapoorthala, Aliganj, Lucknow","Law Entrance Coaching, Law entrance exam coaching",+911140121255_
97,Academy of fashion & art,"2-A Hasan Building 2 nd Floor Habibullah Estate , Hazratganj","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140186897_
98,Pahaldesign Education Pvt. Ltd.,"HIG 7, Aliganj","NATA Coaching, ENGG / ARCH entrance exam coaching",+919021117459_
99,Academy For Creative Students,"Ashiyana Colony, Ashiyana","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140017539_
100,Paatshala Academy,"Shalimar Chauraha, Indira Nagar","NATA Coaching, ENGG / ARCH entrance exam coaching",+919021117520_
101,Vamshi Institute of Fine Arts & Design," Kapoorthala, Aliganj","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140132586_
102,Design Edge," Hazratganj , Lalbagh","NATA Coaching, ENGG / ARCH entrance exam coaching",+911140169876_
103,STAR PMT TUTORIALS," NAWAL KISHOR ROAD, Hazratganj","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
104,Target Career," Kanpur Road, Ashiana","National Talent Search Exam (NTSE) Coaching, Defence / police exam coaching",
105,AAA Ancient India Vedic Mathematics.," MotiJheel Hydel Colony, Aishbagh, Lucknow","National Talent Search Exam (NTSE) Coaching, SSC exam coaching",
106,skynercreation.com," faizabad Road lucknow, Faizabad Road, Lucknow","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
107,IMZ,"Sector J, Aliganj","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
108,Global Tutorial and training Center,"Indira Nagar, Lucknow - ","National Talent Search Exam (NTSE) Coaching, School competitive exam coaching",
109,Upgrade TUTORIALS,"Eldeco udyan-1 Bangla Bazar jail road Lucknow, Ashiyana, Lucknow","National Talent Search Exam (NTSE) Coaching, UPSC exam coaching",
110,I-Education,"Phool Bagh Colony, Kursi Road, Lucknow","National Talent Search Exam (NTSE) Coaching, UGC NET coaching",
