,NAME,LOCATION,COURSES,CONTACT NO.
53,Ashwin Classes,"Jai Ganesh Vishwa, Vishrantwadi","AMIE Coaching, ENGG / ARCH entrance exam coaching",
54,IIT JEE & Engineering Forum,"Karve Road, Kothrud","AMIE Coaching, ENGG / ARCH entrance exam coaching",
55,Yashodip Academy,"Deccan Gymkhana, Sadashiv Peth","AMIE Coaching, ENGG / ARCH entrance exam coaching",
56,Parashar Coaching Academy,"Sinhagad Road, Kothrud","AMIE Coaching, ENGG / ARCH entrance exam coaching",
57,Abha Cooking Classes,"Handewadi Road, Pisoli","AMIE Coaching, Management entrance exam coaching",
58,RYADS," Sutarwadi Link Road, Pashan","AMIE Coaching, ENGG / ARCH entrance exam coaching",
59,Fujiyama Japanese Language Institute,"Erandwane Road, Erandwane","AMIE Coaching, Management entrance exam coaching",
60,Winner Institute Of Competitive Examination," Lalabahadur Shastr, Sadashiv Peth, Pune",Bank Exam Coaching,+912249431938_
61,Sai Vidya Educations," Pheonix Mall, Viman Nagar, Pune",Bank Exam Coaching,+917620790259_
62,TARGET POINT INSTITUTE,"Pune - 411005__Above Panchali hotel, Shivaji Nagar, Pune",Bank Exam Coaching,+912249429553_
63,IBT Institute," tata guardroom , Chandan Nagar, Pune",Bank Exam Coaching,+912249428368_
64,Apti Academy," Sadashiv Peth, Sadashiv Peth, Pune",Bank Exam Coaching,+912249428242_
65,Avensys Foundation,"HADAPSAR, Hadapsar",Bank Exam Coaching,
66,Study Center,"East Street, Camp",Bank Exam Coaching,
67,Fujiyama Japanese Language Institute,"Erandwane Road, Erandwane",Bank Exam Coaching,
68,Shiksha Acadamy,"Pune 411058, Warje, Pune",Bank Exam Coaching,
69,IBT Institute Pvt. Ltd.," Vaiduwadi, Hadapsar",Bank Exam Coaching,
70,Sai Vidya Educations," Pheonix Mall, Viman Nagar, Pune","CAT Coaching Centers, Law entrance exam coaching",+917620790259_
71,ICE College of Management,Also Servicing in Pune,"CAT Coaching Centers, Management entrance exam coaching",+912249410955_
72,EQL Classes," Goodluck Chowk, Deccan Gymkhana, Pune","CAT Coaching Centers, Law entrance exam coaching",+912249434118_
73,IMS Learning Resources Pvt. Ltd.,Also Servicing in Pune,"CAT Coaching Centers, Law entrance exam coaching",+919066021467_
74,IMS Learning Resources Pvt. Ltd.," 1st Floor, Deccan Gymkhana, Pune","CAT Coaching Centers, Law entrance exam coaching",+912249429642_
75,Proton Training Solutions,"Nr. Reliance Mall, Erandwane, pune","CAT Coaching Centers, Law entrance exam coaching",+912249430369_
76,SS Education,"Phoenix Mall, Viman Nagar","CAT Coaching Centers, Law entrance exam coaching",+912249431662_
77,AptitudeMate,Also Servicing in Pune,"CAT Coaching Centers, Law entrance exam coaching",+911140120301_
78,Tarkashastra," Near Mhatre Bridge, Erandwane, Pune","CAT Coaching Centers, Management entrance exam coaching",+912249434464_
79,Guru's Classes,Also Servicing in Pune,"CAT Coaching Centers, Management entrance exam coaching",+917569010401_
80,Sai Vidya Educations," Pheonix Mall, Viman Nagar, Pune","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+917620790259_
81,ICE College of Management,Also Servicing in Pune,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+912249410955_
82,EQL Classes," Goodluck Chowk, Deccan Gymkhana, Pune","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249434118_
83,IMS Learning Resources Pvt. Ltd.,Also Servicing in Pune,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+919066021467_
84,IMS Learning Resources Pvt. Ltd.," 1st Floor, Deccan Gymkhana, Pune","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249429642_
85,Exam Dost," Maharashtra 411004, Deccan Gymkhana, Pune","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249428196_
86,Proton Training Solutions,"Nr. Reliance Mall, Erandwane, pune","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249430369_
87,SS Education,"Phoenix Mall, Viman Nagar","Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+912249431662_
88,AptitudeMate,Also Servicing in Pune,"Common Management Aptitude Test (CMAT) Coaching, Law entrance exam coaching",+911140120301_
89,Guru's Classes,Also Servicing in Pune,"Common Management Aptitude Test (CMAT) Coaching, Management entrance exam coaching",+917569010401_
90,ICE College of Management,Also Servicing in Pune,"CTET Coaching, UPSC exam coaching",+912249410955_
91,Sudhir Ghadi Science Classes,"Aundh Gaon, Aundh","CTET Coaching, Teachers exam coaching",
92,Fujiyama Japanese Language Institute,"Erandwane Road, Erandwane","CTET Coaching, UPSC exam coaching",
93,Secundumforo Education Pvt. Ltd,Also Servicing in Pune,"CTET Coaching, Teachers exam coaching",
94,MargDarshan Academy,"Trimurti chowk, Dhankawadi, Pune","CTET Coaching, UPSC exam coaching",
