,NAME,LOCATION,COURSES,CONTACT NO.
612,Update Institute of Professional Studies,Also Servicing in Kanpur,"Learning Disability Courses, Engineering and technician job training",
613,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road","Learning Disability Courses, Engineering and technician job training",
614,Eduvista Skill Power Academy,Also Servicing in Kanpur,NEBOSH Courses,+911140166482_
615,Gulf Academy Of Safety (Jamshedpur Branch),Also Servicing in Kanpur,NEBOSH Courses,+911140164933_
616,SRC IT SERVICES,"Mall Road, Kanpur - ",NEBOSH Courses,
617,Printtrade,"48/232-233, General Ganj",NEBOSH Courses,
618,Update Institute of Professional Studies,Also Servicing in Kanpur,NEBOSH Courses,
619,Central Institute Of Fire & Safety Management," Awadh Puri Road, Vikas Nagar",NEBOSH Courses,
620,Viswas Institute Of Fire Engineering & Safety,Also Servicing in Kanpur,NEBOSH Courses,
621,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Kanpur,NEBOSH Courses,
622,Jifsa Education & Technical Services Pvt Ltd,Also Servicing in Kanpur,NEBOSH Courses,
623,JIFSA,Also Servicing in Kanpur,NEBOSH Courses,
624,NIIT Ltd.,"Arya Nagar Crossing, Arya Nagar","SPM Training, Programming languages training",
625,Jetking Infotrain Ltd.,Also Servicing in Kanpur,"SPM Training, Digital literacy courses",+912249433632_
626,Sofcon India Pvt. Ltd.,Also Servicing in Kanpur,"SPM Training, Programming languages training",
627,JFY School of Skills," Swaroop Nagar, Kanpur Nagar, Kanpur","SPM Training, Programming languages training",
628,Ritusha Consultants Pvt. Ltd.," Nadri Bazar, Swaroop Nagar, Kanpur","SPM Training, Programming languages training",
629,Apex Professional Service,"Kalyanpur, Kanpur - 208018","SPM Training, Digital literacy courses",
630,IT/Software Training and education services,"Gumti, Kanpur - ","SPM Training, Digital literacy courses",
631,SRC IT SERVICES,"Mall Road, Kanpur - ","Sports Nutrition Course, Engineering and technician job training",
632,Printtrade,"48/232-233, General Ganj","Sports Nutrition Course, Engineering and technician job training",
633,Youtuber,"Darshan Purwa, Kanpur - 208012","Sports Nutrition Course, Engineering and technician job training",
634,Update Institute of Professional Studies,Also Servicing in Kanpur,"Sports Nutrition Course, Engineering and technician job training",
635,VLCC Institute,"No. 113/200, Swaroop Nagar","Sports Nutrition Course, Beauty and spa job training",
636,Vivo Healthcare Institute,"Vasant Vihar, Naubasta","Sports Nutrition Course, Health & wellness job training",
637,Summer Cum Project Training Mart,"Knp, Kalyanpur","Accounting Courses, Engineering and technician job training",
638,Ablaze management Solutions,"MIG 9, Barra","Accounting Courses, Engineering and technician job training",
639,You tube,"B/H Shreeji Electric, Bhadrsa","Accounting Courses, Banking, Finance & GST job training",
640,SRC IT SERVICES,"Mall Road, Kanpur - ","Accounting Courses, Engineering and technician job training",
641,Printtrade,"48/232-233, General Ganj","Accounting Courses, Engineering and technician job training",
642,Arpit Gupta Classes,Also Servicing in Kanpur,"Accounting Courses, Banking, Finance & GST job training",
643,Business Excellence Institute Pvt. Ltd.,"Mirpur, Kanpur - 208001","Accounting Courses, Engineering and technician job training",
644,Update Institute of Professional Studies,Also Servicing in Kanpur,"Accounting Courses, Engineering and technician job training",
645,NIIT Ltd.,"Arya Nagar Crossing, Arya Nagar","Accounting Courses, Engineering and technician job training",
646,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road","Accounting Courses, Engineering and technician job training",
647,Update Institute of Professional Studies,Also Servicing in Kanpur,Finance Training,
648,Ablaze management Solutions,"MIG 9, Barra",Finance Training,
649,NIIT Ltd.,"Arya Nagar Crossing, Arya Nagar",Finance Training,
650,Bankedge,"16/19e 1st floor civil lines kanpur near bandhan guest house, Civil Lines",Finance Training,
651,Office,"Chauki Road, Yashoda Nagar",Finance Training,
652,SRC IT SERVICES,"Mall Road, Kanpur - ",Finance Training,
653,Market Seekho,Also Servicing in Kanpur,"Financial Risk Management (FRM) Training, Share market courses",+911140121605_
654,DIGITAL SAVERA,"Kalyanpur, Kanpur - 208017","Financial Risk Management (FRM) Training, Digital marketing job training",
655,Vedansh Stock/ Share Market Training Academy,"New Kanpur City, Kanpur - ","Financial Risk Management (FRM) Training, Share market courses",
656,Stock broker(share market training and investment),"147 Tatmill chauraha Ganges mall, Sujanpur","Financial Risk Management (FRM) Training, Share market courses",
657,SRC IT SERVICES,"Mall Road, Kanpur - ","Financial Risk Management (FRM) Training, Engineering and technician job training",
658,Printtrade,"48/232-233, General Ganj","Financial Risk Management (FRM) Training, Engineering and technician job training",
659,IES Share Market Training Institute,Also Servicing in Kanpur,"Financial Risk Management (FRM) Training, Share market courses",
660,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road","Financial Risk Management (FRM) Training, Engineering and technician job training",
661,"National Institute of Fire, Disaster & Environment Management","Mirpur, Kanpur - 208001","Financial Risk Management (FRM) Training, Banking, Finance & GST job training",
662,Update Institute of Professional Studies,Also Servicing in Kanpur,"Financial Risk Management (FRM) Training, Engineering and technician job training",
663,Market Seekho,Also Servicing in Kanpur,"Retail Banking Training, Share market courses",+911140121605_
664,DIGITAL SAVERA,"Kalyanpur, Kanpur - 208017","Retail Banking Training, Digital marketing job training",
665,Vedansh Stock/ Share Market Training Academy,"New Kanpur City, Kanpur - ","Retail Banking Training, Share market courses",
666,Stock broker(share market training and investment),"147 Tatmill chauraha Ganges mall, Sujanpur","Retail Banking Training, Share market courses",
667,SRC IT SERVICES,"Mall Road, Kanpur - ","Retail Banking Training, Engineering and technician job training",
668,Printtrade,"48/232-233, General Ganj","Retail Banking Training, Engineering and technician job training",
669,IES Share Market Training Institute,Also Servicing in Kanpur,"Retail Banking Training, Share market courses",
670,Central U.P. Gas Ltd.," Juhi Kala, Hamirpur Road","Retail Banking Training, Engineering and technician job training",
671,"National Institute of Fire, Disaster & Environment Management","Mirpur, Kanpur - 208001","Retail Banking Training, Banking, Finance & GST job training",
672,Update Institute of Professional Studies,Also Servicing in Kanpur,"Retail Banking Training, Engineering and technician job training",
673,Market Seekho,Also Servicing in Kanpur,"Share Marketing Training, Share market courses",+911140121605_
674,DIGITAL SAVERA,"Kalyanpur, Kanpur - 208017","Share Marketing Training, Digital marketing job training",
675,Vedansh Stock/ Share Market Training Academy,"New Kanpur City, Kanpur - ","Share Marketing Training, Share market courses",
676,Stock broker(share market training and investment),"147 Tatmill chauraha Ganges mall, Sujanpur","Share Marketing Training, Share market courses",
677,SRC IT SERVICES,"Mall Road, Kanpur - ","Share Marketing Training, Engineering and technician job training",
678,Printtrade,"48/232-233, General Ganj","Share Marketing Training, Engineering and technician job training",
679,IES Share Market Training Institute,Also Servicing in Kanpur,"Share Marketing Training, Share market courses",
680,Aptech Computer Education,"Nadri bazar Road, Swaroop Nagar","Share Marketing Training, Engineering and technician job training",
681,Aptech Computer Education,"Pandu Nagar, Kakadeo","Share Marketing Training, Engineering and technician job training",
682,Promosys Technology Pvt. Ltd.,Also Servicing in Kanpur,"Share Marketing Training, Engineering and technician job training",+919021119436_
683,Flyway Airhosters Academy,Also Servicing in Kanpur,"Aviation Management Training Courses, Aviation job training",+911140120948_
684,Chiranjeev IT and BPO,"Ramadevi, Lal Bangla","Aviation Management Training Courses, Digital marketing job training",
685,Flyfin Air Hostess And Ground Staff Institute,"Kanpur, Canal Road","Aviation Management Training Courses, Aviation job training",
686,PEARL AIR HOSTESS ACADEMY,"Kakadeo, Kanpur - 208025","Aviation Management Training Courses, Aviation job training",
687,SRC IT SERVICES,"Mall Road, Kanpur - ","Aviation Management Training Courses, Engineering and technician job training",
688,Printtrade,"48/232-233, General Ganj, Kanpur","Aviation Management Training Courses, Engineering and technician job training",
689,Update Institute of Professional Studies,Also Servicing in Kanpur,"Aviation Management Training Courses, Engineering and technician job training",
690,Siddhi Arora Makeup Artist,Also Servicing in Kanpur,"Aviation Management Training Courses, Aviation job training",+911140164622_
691,Air World Academy,Also Servicing in Kanpur,"Aviation Management Training Courses, Aviation job training",
692,KCOLUMBUS...THE FLYING CAREER INSTITUTE,"Shahi Darbaar Apart. Swaroop Nagar, Swaroop Nagar","Aviation Management Training Courses, Aviation job training",
693,SRC IT SERVICES,"Mall Road, Kanpur - ","Club Management Courses, Engineering and technician job training",
694,Printtrade,"48/232-233, General Ganj","Club Management Courses, Engineering and technician job training",
695,Update Institute of Professional Studies,Also Servicing in Kanpur,"Club Management Courses, Engineering and technician job training",
696,Flyway Airhosters Academy,Also Servicing in Kanpur,"Club Management Courses, Aviation job training",+911140120948_
697,Aptech Computer Education,"Pandu Nagar, Kakadeo","Club Management Courses, Engineering and technician job training",
698,Eduvista Skill Power Academy,Also Servicing in Kanpur,"Construction Safety Training, Occupational safety job training",+911140166482_
699,Gulf Academy Of Safety (Jamshedpur Branch),Also Servicing in Kanpur,"Construction Safety Training, Occupational safety job training",+911140164933_
700,Chiranjeev IT and BPO,"Ramadevi, Lal Bangla","Construction Safety Training, Digital marketing job training",
701,SRC IT SERVICES,"Mall Road, Kanpur - ","Construction Safety Training, Engineering and technician job training",
702,Printtrade,"48/232-233, General Ganj","Construction Safety Training, Engineering and technician job training",
703,Update Institute of Professional Studies,Also Servicing in Kanpur,"Construction Safety Training, Engineering and technician job training",
704,Central Institute Of Fire & Safety Management," Awadh Puri Road, Vikas Nagar","Construction Safety Training, Occupational safety job training",
705,Viswas Institute Of Fire Engineering & Safety,Also Servicing in Kanpur,"Construction Safety Training, Occupational safety job training",
706,Jifsa Education & Technical Services Pvt. Ltd.,Also Servicing in Kanpur,"Construction Safety Training, Banking, Finance & GST job training",
707,Jifsa Education & Technical Services Pvt Ltd,Also Servicing in Kanpur,"Construction Safety Training, Occupational safety job training",
708,Eduvista Skill Power Academy,Also Servicing in Kanpur,"CSWIP Training, Occupational safety job training",+911140166482_
709,SRC IT SERVICES,"Mall Road, Kanpur - ","CSWIP Training, Engineering and technician job training",
710,Printtrade,"48/232-233, General Ganj","CSWIP Training, Engineering and technician job training",
711,Update Institute of Professional Studies,Also Servicing in Kanpur,"CSWIP Training, Engineering and technician job training",
712,Viswas Institute Of Fire Engineering & Safety,Also Servicing in Kanpur,"CSWIP Training, Occupational safety job training",
713,National Academy Of Fire & Safety Engineering,Also Servicing in Kanpur,"CSWIP Training, Engineering and technician job training",
714,Youtuber,"Darshan Purwa, Kanpur - 208012","CSWIP Training, Engineering and technician job training",
715,SRC IT SERVICES,"Mall Road, Kanpur - ","Diamond Grading Course, Engineering and technician job training",
716,Printtrade,"48/232-233, General Ganj","Diamond Grading Course, Engineering and technician job training",
717,Update Institute of Professional Studies,Also Servicing in Kanpur,"Diamond Grading Course, Engineering and technician job training",
718,Youtuber,"Darshan Purwa, Kanpur - 208012","Diamond Grading Course, Engineering and technician job training",
719,S&S Care Skills Academy Pvt. Ltd.," Rama Devi K.R Puram, Sanigawan Road","Electrical Engineering Job Training, Engineering and technician job training",
720,SRC IT SERVICES,"Mall Road, Kanpur - ","Electrical Engineering Job Training, Engineering and technician job training",
721,Printtrade,"48/232-233, General Ganj","Electrical Engineering Job Training, Engineering and technician job training",
722,Update Institute of Professional Studies,Also Servicing in Kanpur,"Electrical Engineering Job Training, Engineering and technician job training",
723,Youtuber,"Darshan Purwa, Kanpur - 208012","Electrical Engineering Job Training, Engineering and technician job training",
724,Eduvista Skill Power Academy,Also Servicing in Kanpur,"Electronic Security Training, Occupational safety job training",+911140166482_
725,SATYA INFOTECH,"NAWABGANJ, Azad Nagar","Electronic Security Training, Engineering and technician job training",
726,SRC IT SERVICES,"Mall Road, Kanpur - ","Electronic Security Training, Engineering and technician job training",
727,Printtrade,"48/232-233, General Ganj","Electronic Security Training, Engineering and technician job training",
728,Update Institute of Professional Studies,Also Servicing in Kanpur,"Electronic Security Training, Engineering and technician job training",
729,Viswas Institute Of Fire Engineering & Safety,Also Servicing in Kanpur,"Electronic Security Training, Occupational safety job training",
730,National Academy Of Fire & Safety Engineering,Also Servicing in Kanpur,"Electronic Security Training, Engineering and technician job training",
731,Youtuber,"Darshan Purwa, Kanpur - 208012","Electronic Security Training, Engineering and technician job training",
732,Fashionbox institute of design,Also Servicing in Kanpur,Fashion Designing Courses,+917949074567_
733,Kala Darpan," IN, Kidwai Nagar, Kanpur",Fashion Designing Courses,
734,Printtrade,"48/232-233, General Ganj, Kanpur",Fashion Designing Courses,
